Date/Time,Unit,Value,
9/8/2020, 4:45:01 AM,F,68.247
9/8/2020, 5:45:01 AM,F,68.247
9/8/2020, 6:45:01 AM,F,68.247
9/8/2020, 7:45:01 AM,F,70.048
9/8/2020, 8:45:01 AM,F,71.849
9/8/2020, 9:45:01 AM,F,78.15
9/8/2020, 10:45:01 AM,F,106.929
9/8/2020, 11:45:01 AM,F,113.218
9/8/2020, 12:45:01 PM,F,112.32
9/8/2020, 1:45:01 PM,F,111.421
9/8/2020, 2:45:01 PM,F,107.827
9/8/2020, 3:45:01 PM,F,106.03
9/8/2020, 4:45:01 PM,F,97.041
9/8/2020, 5:45:01 PM,F,84.449
9/8/2020, 6:45:01 PM,F,77.25
9/8/2020, 7:45:01 PM,F,70.948
9/8/2020, 8:45:01 PM,F,64.645
9/8/2020, 9:45:01 PM,F,61.042
9/8/2020, 10:45:01 PM,F,60.141
9/8/2020, 11:45:01 PM,F,59.24
9/9/2020, 12:45:01 AM,F,58.339
9/9/2020, 1:45:01 AM,F,62.844
9/9/2020, 2:45:01 AM,F,65.545
9/9/2020, 3:45:01 AM,F,65.545
9/9/2020, 4:45:01 AM,F,67.347
9/9/2020, 5:45:01 AM,F,63.744
9/9/2020, 6:45:01 AM,F,62.844
9/9/2020, 7:45:01 AM,F,68.247
9/9/2020, 8:45:01 AM,F,85.348
9/9/2020, 9:45:01 AM,F,95.242
9/9/2020, 10:45:01 AM,F,100.637
9/9/2020, 11:45:01 AM,F,112.32
9/9/2020, 12:45:01 PM,F,123.996
9/9/2020, 1:45:01 PM,F,115.913
9/9/2020, 2:45:01 PM,F,125.792
9/9/2020, 3:45:01 PM,F,123.098
9/9/2020, 4:45:01 PM,F,102.435
9/9/2020, 5:45:01 PM,F,85.348
9/9/2020, 6:45:01 PM,F,76.35
9/9/2020, 7:45:01 PM,F,67.347
9/9/2020, 8:45:01 PM,F,59.24
9/9/2020, 9:45:01 PM,F,57.438
9/9/2020, 10:45:01 PM,F,52.933
9/9/2020, 11:45:01 PM,F,52.933
9/10/2020, 12:45:01 AM,F,52.933
9/10/2020, 1:45:01 AM,F,52.032
9/10/2020, 2:45:01 AM,F,52.032
9/10/2020, 3:45:01 AM,F,50.229
9/10/2020, 4:45:01 AM,F,48.427
9/10/2020, 5:45:01 AM,F,54.735
9/10/2020, 6:45:01 AM,F,52.032
9/10/2020, 7:45:01 AM,F,59.24
9/10/2020, 8:45:01 AM,F,69.147
9/10/2020, 9:45:01 AM,F,83.549
9/10/2020, 10:45:01 AM,F,92.544
9/10/2020, 11:45:01 AM,F,97.94
9/10/2020, 12:45:01 PM,F,100.637
9/10/2020, 1:45:01 PM,F,100.637
9/10/2020, 2:45:01 PM,F,101.536
9/10/2020, 3:45:01 PM,F,88.947
9/10/2020, 4:45:01 PM,F,81.749
9/10/2020, 5:45:01 PM,F,73.649
9/10/2020, 6:45:01 PM,F,65.545
9/10/2020, 7:45:01 PM,F,58.339
9/10/2020, 8:45:01 PM,F,55.636
9/10/2020, 9:45:01 PM,F,52.933
9/10/2020, 10:45:01 PM,F,52.933
9/10/2020, 11:45:01 PM,F,51.131
9/11/2020, 12:45:01 AM,F,50.229
9/11/2020, 1:45:01 AM,F,50.229
9/11/2020, 2:45:01 AM,F,49.328
9/11/2020, 3:45:01 AM,F,50.229
9/11/2020, 4:45:01 AM,F,49.328
9/11/2020, 5:45:01 AM,F,48.427
9/11/2020, 6:45:01 AM,F,48.427
9/11/2020, 7:45:01 AM,F,60.141
9/11/2020, 8:45:01 AM,F,77.25
9/11/2020, 9:45:01 AM,F,95.242
9/11/2020, 10:45:01 AM,F,111.421
