ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
128,,,,,,,
129,ENCA,58.4,43.2,40.6,1.5,27-Oct,
130,RHOV,21.6,9,6.2,0.4,27-Oct,
131,,,,,,,
132,RHOV,,,,,27-Oct,DAG
133,HEWH,11,16,6.6,,27-Oct,
134,ENCA,24.6,17.6,2.2,0.4,27-Oct,
135,SAAP,38.1,27.4,15.6,1,27-Oct,
136,ENCA,,,,,27-Oct,DAG
137,SAAP,,,,,27-Oct,NP
138,ADFA,52.2,36.2,25.3,0.6,27-Oct,
139,ADFA,36.6,34.4,33,0.5,27-Oct,
140,SANI,,,,,27-Oct,NP
141,HEWH,35.4,27.1,23.8,,27-Oct,
142,RHOV,46.2,18.4,16.4,0.9,27-Oct,
143,,,,,,,
144,,,,,,,
145,,,,,,,
146,,,,,,,
147,RHOV,,,,,27-Oct,NP
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,ENCA,31.8,3.3,2.6,0.3,27-Oct,DAG
152,CEOL,17.1,8.8,1.5,0.2,27-Oct,DAG
153,,,,,,,
154,,,,,,,
155,SAAP,9.8,23.9,15.1,0.5,27-Oct,
156,HEAR,8.6,10.2,4.9,0.3,27-Oct,
157,,,,,,,
158,,,,,,,
159,,,,,,,
160,HEWH,,,,,27-Oct,NP
161,,,,,,,
162,HEWH,,,,,27-Oct,NP
163,ADFA,49.3,56.1,30.2,0.7,5-Nov,DAG
164,HEWH,20.4,8.1,11.6,,5-Nov,
165,,,,,,,
166,SAME,24.3,16.8,13.2,0.4,27-Oct,DAG
167,HEWH,22.2,33.6,25.8,,27-Oct,DAG
168,RHOV,45.6,34.1,33.2,2.1,27-Oct,
169,HEWH,,,,,27-Oct,NP
170,CEOL,,,,,27-Oct,NP
171,RHOV,15.1,9.1,5.9,0.4,27-Oct,
172,,,,,,,
173,,,,,,,
174,ADFA,56.7,36.8,37.5,1.2,5-Nov,
175,,,,,,,
176,HEWH,,,,,5-Nov,NP
177,HEWH,33.6,33.1,25.4,,27-Oct,
178,,,,,,,
179,,,,,,,
180,,,,,,,
181,HEWH,,,,,5-Nov,NP
182,HEWH,36.1,33.1,38.2,,5-Nov,
183,,,,,,,
184,,,,,,,
185,ENCA,24.6,7.5,4.2,0.6,27-Oct,DAG
186,,,,,,,
187,HEWH,29.6,26.6,14.8,,27-Oct,
188,HEWH,4.9,10.9,0.5,,27-Oct,ONE LEAF ALIVE
189,,,,,,,
190,CEOL,,,,,5-Nov,NP
191,,,,,,,
192,,,,,,,
193,,,,,,,
194,SANI,,,,,5-Nov,NP
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,HEWH,,,,,27-Oct,NP
200,HEWH,16.7,13,6.6,,27-Oct,
201,,,,,,,
202,,,,,,,
203,,,,,,,
204,,,,,,,
205,CEOL,39.7,17.6,16.8,0.4,27-Oct,DAG
206,SAAP,23.6,24.6,21,0.8,5-Nov,
207,,,,,,,
208,SAAP,,,,,5-Nov,NP
209,HEWH,,,,,5-Nov,NP
210,ADFA,40,54.4,37.2,0.5,27-Oct,DAG
211,HEWH,,,,,5-Nov,NP
212,,,,,,,
213,,,,,,,
214,,,,,,,
215,CEOL,23.6,18.6,13.4,0.25,27-Oct,
216,,,,,,,
217,,,,,,,
218,HEWH,25.6,31,30.6,,27-Oct,
219,RHOV,,,,,27-Oct,NP
220,ENCA,,,,,5-Nov,DAG
221,,,,,,,
222,,,,,,,
223,,,,,,,
224,,,,,,,
225,,,,,,,
226,,,,,,,
227,SAAP,14.5,6,3.5,0.4,5-Nov,
228,CEOL,37.1,33.1,24.2,0.4,5-Nov,DAG
229,,,,,,,
230,,,,,,,
231,,,,,,,
232,,,,,,,
233,,,,,,,
234,,,,,,,
235,,,,,,,
236,,,,,,,
237,,,,,,,
238,,,,,,,
239,,,,,,,
240,,,,,,,
241,RHOV,,,,,5-Nov,DAG
242,RHOV,23.9,14.7,12.5,0.6,5-Nov,
243,,,,,,,
244,RHOV,31.9,17.4,13.1,1.1,5-Nov,
245,,,,,,,
246,HEWH,31.1,25,18.2,,5-Nov,
247,,,,,,,
248,,,,,,,
249,,,,,,,
250,ENCA,42.4,50.1,18.8,1.6,5-Nov,DAG
251,ENCA,62.1,12.7,6.1,0.7,5-Nov,
252,CEOL,52.1,31.2,25.1,1,5-Nov,
253,,,,,,,
254,,,,,,,
255,HEWH,,,,,5-Nov,NP
256,SAME,19.8,7.4,6.5,0.4,5-Nov,DAG
257,ADFA,,,,,5-Nov,DAG
258,,,,,,,
259,HEWH,,,,,5-Nov,NP
260,,,,,,,
261,,,,,,,
262,,,,,,,
263,SAME,22.7,6.1,6.4,0.4,5-Nov,DAG
264,,,,,,,
265,,,,,,,
266,,,,,,,
267,,,,,,,
268,,,,,,,
269,,,,,,,
270,,,,,,,
271,CEOL,,,,,5-Nov,NP
272,,,,,,,
273,SAAP,,,,,5-Nov,NP
274,SAAP,,,,,5-Nov,DAG
275,,,,,,,
276,,,,,,,
277,ENCA,,,,,5-Nov,NP
278,,,,,,,
279,SANI,,,,,5-Nov,NP
280,RHOV,,,,,5-Nov,NP
281,,,,,,,
282,HEWH,30.1,24.2,12.9,,5-Nov,
283,SAAP,,,,,5-Nov,NP
284,SANI,15.9,23.5,12.8,0.6,5-Nov,
285,ENCA,38.1,47.9,9.6,1.6,5-Nov,DAG
286,HEWH,28.9,35.1,18.9,,5-Nov,
287,MALA,,,,,5-Nov,NP
288,CEOL,,,,,5-Nov,NP
289,,,,,,,
290,CEOL,,,,,5-Nov,DAG
291,SAME,,,,,5-Nov,NP
292,RHOV,,,,,5-Nov,NP
293,SAME,33.4,8.6,3.7,0.3,5-Nov,DAG
294,,,,,,,
295,ENCA,,,,,5-Nov,DAG
296,,,,,,,
297,MALA,87.9,43.2,39,2.2,5-Nov,
298,SAME,23,11.1,4,0.9,5-Nov,
299,RHOV,14.5,7.6,5.5,0.4,5-Nov,
300,,,,,,,
301,HEWH,,,,,27-Oct,NP
302,,,,,,,
303,ENCA,,,,,27-Oct,NP
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,ENCA,,,,,27-Oct,NP
308,,,,,,,
309,CEOL,,,,,27-Oct,NP
310,,,,,,,
311,,,,,,,
312,,,,,,,
313,CEOL,,,,,27-Oct,NP
314,SANI,15.3,7.4,4.9,0.51,27-Oct,
315,,,,,,,
316,HEWH,34,21.4,17.5,,27-Oct,
317,,,,,,,
318,,,,,,,
319,ENCA,,,,,27-Oct,NP
320,ADFA,57,41.5,25.3,1,27-Oct,DAG
321,,,,,,,
322,,,,,,,
323,HEWH,,,,,27-Oct,NP
324,,,,,,,
325,,,,,,,
326,ADFA,61.9,70.1,39.2,0.75,27-Oct,"DAG, PARTIALLY BURRIED"
327,ENCA,38,34.2,13.3,0.5,27-Oct,DAG
328,,,,,,,
329,,,,,,,
330,,,,,,,
331,,,,,,,
332,,,,,,,
333,,,,,,,
334,CEOL,53.2,12.1,10.9,0.41,27-Oct,DAG
335,,,,,,,
336,,,,,,,
337,,,,,,,
338,,,,,,,
339,ENCA,,,,,27-Oct,NP
340,,,,,,,
341,,,,,,,
342,,,,,,,
343,SAAP,,,,,27-Oct,NP
344,,,,,,,
345,ADFA,54.2,41.3,25.8,0.48,27-Oct,
346,,,,,,,
347,,,,,,,
348,,,,,,,
349,,,,,,,
350,,,,,,,
351,ADFA,,,,,27-Oct,NP
352,,,,,,,
353,ENCA,,,,,27-Oct,NP
354,SAME,60.6,23.6,13.4,0.8,27-Oct,DAG
355,,,,,,,
356,,,,,,,
357,,,,,,,
358,,,,,,,
359,,,,,,,
360,,,,,,,
361,CEOL,,,,,27-Oct,NP
362,MALA,,,,,27-Oct,DAG
363,RHOV,,,,,27-Oct,NP
364,MALA,,,,,27-Oct,NP
365,,,,,,,
366,,,,,,,
367,,,,,,,
368,HEWH,24.3,26.9,17.2,,27-Oct,
369,,,,,,,
370,,,,,,,
371,,,,,,,
372,,,,,,,
373,,,,,,,
374,HEWH,,,,,27-Oct,NP
375,RHOV,,,,,27-Oct,NP
376,,,,,,,
377,HEWH,26.4,20,12.9,,27-Oct,
378,,,,,,,
379,HEWH,,,,,27-Oct,NP
380,,,,,,,
381,SANI,,,,,27-Oct,DAG
382,,,,,,,
383,ENCA,,,,,27-Oct,NP
384,CEOL,,,,,27-Oct,DAG
385,HEWH,21,37.8,22.1,,27-Oct,
386,ADFA,26.1,53.1,34.4,0.5,27-Oct,DAG
387,ENCA,,,,,27-Oct,NP
388,,,,,,,
389,,,,,,,
390,ADFA,,,,,27-Oct,NP
391,,,,,,,
392,,,,,,,
393,ENCA,61.2,33.9,9.8,0.51,27-Oct,
394,HEWH,43.1,42,19.9,,27-Oct,
395,ENCA,,,,,27-Oct,NP
396,,,,,,,
397,,,,,,,
398,ENCA,10.4,13.2,3,0.35,27-Oct,
399,RHOV,37.2,28.2,23.4,0.6,27-Oct,DAG
400,RHOV,56.2,23.4,17.8,1.4,27-Oct,
401,SANI,33,8,4.9,0.35,27-Oct,
402,,,,,,,
403,,,,,,,
404,,,,,,,
405,,,,,,,
406,RHOV,,,,,5-Nov,NP
407,,,,,,,
408,HEWH,34.1,22.9,26,,5-Nov,
409,,,,,,,
410,,,,,,,
411,,,,,,,
412,,,,,,,
413,,,,,,,
414,,,,,,,
415,ENCA,,,,,5-Nov,NP
416,MALA,34.2,22,9.9,0.4,5-Nov,DAG
417,RHOV,54.7,30.6,32.6,1.4,5-Nov,
418,ADFA,32.1,48.2,23.2,0.5,5-Nov,DAG
419,ENCA,71.4,23.6,12.5,1.5,5-Nov,
420,MALA,28.4,31,8.5,0.5,5-Nov,DAG
421,CEOL,33.3,4,3.1,0.3,5-Nov,DAG
422,,,,,,,
423,SANI,30.1,41,33.4,1.3,5-Nov,
424,,,,,,,
425,HEWH,22.3,18.1,20.6,,5-Nov,
426,,,,,,,
427,CEOL,,,,,5-Nov,DAG
428,ENCA,,,,,5-Nov,NP
429,RHOV,26.3,11.8,1.9,0.3,5-Nov,DAG
430,,,,,,,
431,,,,,,,
432,,,,,,,
433,,,,,,,
434,,,,,,,
435,,,,,,,
436,MALA,,,,,5-Nov,NP
437,,,,,,,
438,,,,,,,
439,RHOV,26.2,16.5,7.1,0.3,5-Nov,DAG
440,,,,,,,
441,SAAP,15,21,7.9,0.7,5-Nov,DAG
442,HEWH,6.6,1.6,0.5,,5-Nov,
443,ENCA,,,,,5-Nov,DAG
444,,,,,,,
445,,,,,,,
446,RHOV,,,,,5-Nov,NP
447,ADFA,59.6,46.6,47.5,1.9,5-Nov,DAG
448,,,,,,,
449,,,,,,,
450,SAME,,,,,5-Nov,NP
451,ENCA,,,,,5-Nov,NP
452,,,,,,,
453,,,,,,,
454,,,,,,,
455,,,,,,,
456,,,,,,,
457,SAAP,,,,,5-Nov,NP
458,CEOL,,,,,5-Nov,NP
459,HEWH,,,,,5-Nov,DAG
460,RHOV,,,,,5-Nov,DAG
461,ENCA,,,,,5-Nov,NP
462,,,,,,,
463,,,,,,,
464,ENCA,52.8,9.7,5.2,0.4,5-Nov,
465,,,,,,,
466,SAAP,,,,,5-Nov,NP
467,,,,,,,
468,CEOL,,,,,5-Nov,DAG
469,ENCA,,,,,5-Nov,NP
470,,,,,,,
471,RHOV,,,,,5-Nov,DAG
472,,,,,,,
473,,,,,,,
474,,,,,,,
475,,,,,,,
476,,,,,,,
477,,,,,,,
478,,,,,,,
479,,,,,,,
480,RHOV,,,,,5-Nov,NP
481,SANI,20.1,8.5,6.1,0.6,5-Nov,
482,,,,,,,
483,,,,,,,
484,,,,,,,
485,,,,,,,
486,ENCA,,,,,5-Nov,NP
487,HEWH,,,,,5-Nov,NP
488,,,,,,,
489,SAAP,,,,,5-Nov,NP
490,,,,,,,
491,,,,,,,
492,,,,,,,
493,ENCA,23.1,21.4,22.1,1,5-Nov,DAG
494,,,,,,,
495,,,,,,,
496,,,,,,,
497,,,,,,,
498,,,,,,,
499,,,,,,,
500,,,,,,,
501,,,,,,,
502,SANI,25.5,25.4,17.2,1,5-Nov,
503,RHOV,,,,,5-Nov,NP
504,SAME,12.2,5.5,3.8,0.3,5-Nov,
505,SAAP,21.6,13.1,9.5,0.8,5-Nov,DAG
506,,,,,,,
507,,,,,,,
508,CEOL,,,,,5-Nov,NP
509,,,,,,,
510,ENCA,,,,,5-Nov,NP
511,HEWH,,,,,5-Nov,NP
512,,,,,,,
513,,,,,,,
514,SAAP,,,,,5-Nov,NP
515,HEWH,,,,,5-Nov,NP
516,SAAP,,,,,5-Nov,DAG
517,RHOV,35.9,21.6,13.5,0.8,5-Nov,DAG
518,,,,,,,
519,,,,,,,
520,SAME,,,,,5-Nov,NP
521,ENCA,,,,,5-Nov,NP
522,RHOV,28.1,12.4,6.9,0.6,5-Nov,DAG
523,,,,,,,
524,,,,,,,
525,,,,,,,
526,,,,,,,
527,RHOV,,,,,5-Nov,DAG
528,,,,,,,
529,,,,,,,
530,,,,,,,
531,,,,,,,
532,CEOL,43.9,9.6,12.9,0.6,5-Nov,DAG
533,,,,,,,
534,RHOV,23.3,8.6,7.5,0.8,5-Nov,DAG
535,,,,,,,
536,,,,,,,
537,,,,,,,
538,,,,,,,
539,,,,,,,
540,,,,,,,
541,,,,,,,
542,,,,,,,
543,,,,,,,
544,HEWH,32.3,20,12.8,,5-Nov,
545,SAAP,,,,,5-Nov,DAG
546,RHOV,,,,,5-Nov,NP
547,,,,,,,
548,ADFA,44.4,18,23.2,1.2,5-Nov,DAG
549,,,,,,,
550,,,,,,,
551,SANI,20.6,12.4,7.4,1.2,5-Nov,DAG
552,,,,,,,
553,,,,,,,
554,HEWH,36.6,29.1,12.2,,5-Nov,
555,ENCA,46.2,40.1,36.4,1.1,5-Nov,
556,MALA,,,,,5-Nov,NP
557,,,,,,,
558,ADFA,36.1,55.6,24.5,1.1,5-Nov,DAG
559,,,,,,,
560,,,,,,,
561,,,,,,,
562,,,,,,,
563,HEWH,38.9,16.1,13,,5-Nov,
564,,,,,,,
565,,,,,,,
566,CEOL,,,,,5-Nov,NP 
567,,,,,,,
568,,,,,,,
569,,,,,,,
570,,,,,,,
571,,,,,,,
572,,,,,,,
573,ADFA,64.5,61.2,33.9,1.1,5-Nov,
574,SAAP,40.5,44.5,35.8,1.3,5-Nov,DAG
575,,,,,,,
576,SANI,,,,,5-Nov,NP 
577,,,,,,,
578,,,,,,,
579,,,,,,,
580,,,,,,,
581,,,,,,,
582,,,,,,,
583,,,,,,,
584,SANI,17.6,9.3,9.1,0.8,5-Nov,
585,RHOV,,,,,5-Nov,NP
586,,,,,,,
587,CEOL,39.2,19.5,16.2,0.6,5-Nov,
588,,,,,,,
589,,,,,,,
590,ENCA,60.1,53.4,38.3,0.8,5-Nov,DAG
591,,,,,,,
592,ADFA,45.4,27.1,24,1.4,5-Nov,DAG
593,,,,,,,
594,,,,,,,
595,,,,,,,
596,,,,,,,
597,HEWH,,,,,5-Nov,NP
598,,,,,,,
599,,,,,,,
600,,,,,,,
601,HEWH,,,,,5-Nov,NP
602,,,,,,,
603,,,,,,,
604,SAME,,,,,5-Nov,NP
605,,,,,,,
606,SAAP,32.3,26.4,11.1,0.9,5-Nov,DAG
607,RHOV,,,,,17-Nov,NP
608,ADFA,12.9,46.2,23.1,0.5,17-Nov,DAG
609,,,,,,,
610,,,,,,,
611,,,,,,,
612,,,,,,,
613,,,,,,,
614,,,,,,,
615,,,,,,,
616,,,,,,,
617,,,,,,,
618,,,,,,,
619,,,,,,,
620,,,,,,,
621,ENCA,,,,,17-Nov,NP
622,SANI,14.2,3.9,1.5,0.4,17-Nov,DAG
623,RHOV,,,,,17-Nov,DAG
624,HEWH,29.4,28.2,24.6,,17-Nov,
625,,,,,,,
626,,,,,,,
627,,,,,,,
628,,,,,,,
629,HEWH,24,34.2,32.3,,17-Nov,
630,,,,,,,
631,,,,,,,
632,,,,,,,
633,CEOL,,,,,17-Nov,GOPHER
634,,,,,,,
635,ENCA,,,,,17-Nov,NP
636,ENCA,,,,,17-Nov,DAG
637,,,,,,,
638,,,,,,,
639,,,,,,,
640,,,,,,,
641,,,,,,,
642,,,,,,,
643,,,,,,,
644,,,,,,,
645,,,,,,,
646,,,,,,,
647,,,,,,,
648,,,,,,,
649,,,,,,,
650,,,,,,,
651,,,,,,,
652,,,,,,,
653,,,,,,,
654,,,,,,,
655,HEWH,,,,,17-Nov,GOPHER
656,SANI,,,,,17-Nov,NP
657,,,,,,,
658,,,,,,,
659,,,,,,,
660,,,,,,,
661,CEOL,,,,,17-Nov,NP
662,ADFA,,,,,17-Nov,NP
663,MALA,,,,,17-Nov,NP
664,,,,,,,
665,ENCA,,,,,17-Nov,NP
666,,,,,,,
667,CEOL,,,,,17-Nov,NP
668,RHOV,,,,,17-Nov,DAG
669,ADFA,39.1,59.1,36.1,0.4,17-Nov,DAG
670,SAME,10.5,11.6,11.2,0.6,17-Nov,
671,,,,,,,
672,,,,,,,
673,ADFA,52.8,38.1,20.4,1.1,17-Nov,
674,RHOV,,,,,17-Nov,DAG
675,,,,,,,
676,RHOV,,,,,17-Nov,NP
677,,,,,,,
678,ADFA,45.5,40.8,39.7,1.4,17-Nov,DAG
679,,,,,,,
680,,,,,,,
681,SANI,,,,,17-Nov,GOPHER
682,,,,,,,
683,HEWH,,,,,17-Nov,NP
684,,,,,,,
685,,,,,,,
686,ENCA,,,,,17-Nov,NP
687,,,,,,,
688,,,,,,,
689,,,,,,,
690,,,,,,,
691,,,,,,,
692,,,,,,,
693,,,,,,,
694,,,,,,,
695,,,,,,,
696,,,,,,,
697,,,,,,,
698,,,,,,,
699,,,,,,,
700,,,,,,,
701,,,,,,,
702,SANI,25.2,13.7,14.7,0.6,5-Nov,
703,,,,,,,
704,,,,,,,
705,,,,,,,
706,,,,,,,
707,,,,,,,
708,,,,,,,
709,,,,,,,
710,,,,,,,
711,,,,,,,
712,,,,,,,
713,,,,,,,
714,,,,,,,
715,,,,,,,
716,,,,,,,
717,CEOL,,,,,5-Nov,DAG
718,SAAP,20.7,15.1,9.8,0.6,5-Nov,DAG
719,RHOV,25.2,21.7,12.4,0.9,5-Nov,
720,,,,,,,
721,,,,,,,
722,,,,,,,
723,,,,,,,
724,,,,,,,
725,,,,,,,
726,,,,,,,
727,,,,,,,
728,,,,,,,
729,HEWH,6,5.2,5.1,,17-Nov,
730,,,,,,,
731,HEWH,23,31.2,26.4,,17-Nov,
732,,,,,,,
733,,,,,,,
734,,,,,,,
735,,,,,,,
736,ENCA,57.7,34,21.5,0.8,5-Nov,
737,,,,,,,
738,CEOL,,,,,5-Nov,DAG
739,RHOV,,,,,17-Nov,DAG
740,RHOV,26.7,13.6,11.6,0.4,5-Nov,DAG
741,,,,,,,
742,,,,,,,
743,RHOV,26.4,17.9,12.5,0.6,17-Nov,
744,CEOL,,,,,17-Nov,DAG
745,,,,,,,
746,,,,,,,
747,,,,,,,
748,,,,,,,
749,,,,,,,
750,,,,,,,
751,,,,,,,
752,,,,,,,
753,CEOL,,,,,17-Nov,NP
754,,,,,,,
755,,,,,,,
756,,,,,,,
757,,,,,,,
758,,,,,,,
759,,,,,,,
760,ENCA,49.5,39.8,34.6,0.9,17-Nov,DAG
761,,,,,,,
762,,,,,,,
763,SANI,6.9,9.2,6.8,0.29,17-Nov,
764,,,,,,,
765,ADFA,38.2,31.2,28.2,0.9,17-Nov,
766,,,,,,,
767,,,,,,,
768,ADFA,26,48,39,0.8,17-Nov,DAG
769,,,,,,,
770,,,,,,,
771,RHOV,57.8,27.2,13.3,0.71,17-Nov,
772,SAAP,5.5,4.3,3.8,0.4,17-Nov,
773,RHOV,29.3,9.8,9.1,0.67,17-Nov,
774,,,,,,,
775,,,,,,,
776,,,,,,,
777,,,,,,,
778,,,,,,,
779,ADFA,28.3,54.2,29.3,0.72,17-Nov,DAG
780,,,,,,,
781,,,,,,,
782,,,,,,,
783,,,,,,,
784,ENCA,,,,,17-Nov,NP
785,,,,,,,
786,ADFA,39.1,43.2,39.2,0.6,17-Nov,DAG
787,,,,,,,
788,,,,,,,
789,,,,,,,
790,,,,,,,
791,,,,,,,
792,,,,,,,
793,HEWH,,,,,17-Nov,DAG
794,ADFA,46.3,64.8,43.2,0.69,17-Nov,DAG
795,ENCA,,,,,17-Nov,NP
796,,,,,,,
797,CEOL,,,,,17-Nov,NP
798,SAME,8.5,3.8,2.7,0.3,17-Nov,
799,,,,,,,
800,ENCA,,,,,17-Nov,NP
801,HEWH,,,,,10-Dec,NP
802,,,,,,,
803,,,,,,,
804,MALA,,,,,5-Nov,DAG
805,ADFA,37,44,36,0.6,17-Nov,DAG
806,,,,,,,
807,,,,,,,
808,,,,,,,
809,,,,,,,
810,ENCA,,,,,17-Nov,DAG
811,SAME,,,,,17-Nov,NP
812,HEWH,,,,,17-Nov,NP
813,,,,,,,
814,ADFA,59.1,46.2,29.8,0.3,17-Nov,DAG
815,,,,,,,
816,,,,,,,
817,,,,,,,
818,,,,,,,
819,ADFA,35.7,60.2,42.1,0.7,17-Nov,DAG
820,SANI,,,,,17-Nov,DAG
821,HEWH,21.2,12.5,11.4,,17-Nov,
822,RHOV,,,,,17-Nov,NP
823,,,,,,,
824,ENCA,,,,,17-Nov,NP
825,,,,,,,
826,ADFA,47.2,32.1,21.8,0.62,17-Nov,DAG
827,ENCA,,,,,17-Nov,DAG
828,,,,,,,
829,HEWH,,,,,17-Nov,NP
830,,,,,,,
831,,,,,,,
832,ENCA,,,,,5-Nov,NP
833,,,,,,,
834,HEWH,,,,,5-Nov,NP
835,,,,,,,
836,HEWH,,,,,5-Nov,NP
837,HEWH,,,,,17-Nov,DAG
838,,,,,,,
839,,,,,,,
840,,,,,,,
841,,,,,,,
842,ENCA,,,,,17-Nov,DAG
843,RHOV,,,,,17-Nov,DAG
844,RHOV,,,,,17-Nov,DAG
845,,,,,,,
846,MALA,,,,,17-Nov,DAG
847,,,,,,,
848,,,,,,,
849,HEWH,,,,,5-Nov,NP
850,SANI,,,,,5-Nov,NP
851,HEWH,,,,,5-Nov,NP
852,RHOV,,,,,17-Nov,DAG
853,SAAP,,,,,17-Nov,DAG
854,,,,,,,
855,,,,,,,
856,,,,,,,
857,ENCA,,,,,17-Nov,DAG
858,SAME,,,,,5-Nov,NP
859,,,,,,,
860,ENCA,,,,,17-Nov,DAG
861,RHOV,,,,,17-Nov,NP
862,SAME,15.4,9,2.4,0.2,17-Nov,DAG
863,ENCA,41.2,37.4,19.6,0.8,17-Nov,
864,HEWH,24.5,32.2,22.6,,17-Nov,
865,HEWH,,,,,17-Nov,DAG
866,,,,,,,
867,,,,,,,
868,,,,,,,
869,SAME,6.8,11.7,3.8,0.2,17-Nov,DAG
870,HEWH,12.2,15.4,13.3,,17-Nov,
