ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes
916,CEOL (Orange),,,,22-May,np,gopher,,,,,,
917,HEWH (White),,,,15-May,np,,,,,,,
918,HEWH (White),,,,15-May,y,,,,,,,
919,ADFA (Orange + Green),,,,15-May,y,,,,,,,
920,SANI (Orange + Yellow),,,,15-May,np,,,,,,,
921,ENCA (Pink),,,,22-May,y,,,,,,,
922,SAAP (White + Green),,,,15-May,np,,,,,,,
923,ENCA (Pink),,,,15-May,n,,,,,,,
924,RHOV (White + Pink),,,,15-May,y,,,,,,,
925,CEOL (Orange),,,,15-May,np,,,,,,,
926,CEOL (Orange),,,,15-May,y,,,,,,,
927,RHOV (White + Pink),,,,15-May,y,,,,,,,
928,MALA (White + Yellow),,,,15-May,y,,,,,,,
929,SANI (Orange + Yellow),,,,22-May,n,,,,,,,
930,RHOV (White + Pink),,,,15-May,np,,,,,,,
931,HEWH (White),,,,15-May,y,,,,,,,
932,CEOL (Orange),,,,15-May,n,,,,,,,
933,CEOL (Orange),,,,15-May,y,,,,,,,
934,HEWH (White),,,,22-May,n,,,,,,,
935,RHOV (White + Pink),,,,15-May,y,,,,,,,
936,ADFA (Orange + Green),,,,15-May,n,,,,,,,
937,SANI (Orange + Yellow),,,,15-May,n,,,,,,,
938,ENCA (Pink),,,,15-May,y,,,,,,,
939,CEOL (Orange),,,,15-May,y,,,,,,,
940,SANI (Orange + Yellow),,,,15-May,y,,,,,,,
941,SAAP (White + Green),,,,15-May,y,,,,,,,
942,SAAP (White + Green),,,,15-May,np,,,,,,,
943,HEWH (White),,,,15-May,y,,,,,,,
944,SANI (Orange + Yellow),,,,15-May,y,,,,,,,
945,ADFA (Orange + Green),,,,15-May,n,gopher activity,,,,,,
946,RHOV (White + Pink),,,,15-May,n,,,,,,,
947,MALA (White + Yellow),,,,15-May,n,gopher,,,,,,
948,HEWH (White),,,,15-May,np,gopher,,,,,,
949,SANI (Orange + Yellow),,,,15-May,np,gopher,,,,,,
950,SANI (Orange + Yellow),,,,15-May,y,,,,,,,
951,SANI (Orange + Yellow),,,,15-May,y,,,,,,,
952,SAME (Orange + Pink),,,,15-May,np,gopher,,,,,,
953,ENCA (Pink),,,,15-May,np,gopher,,,,,,
954,RHOV (White + Pink),,,,15-May,y,,,,,,,
955,RHOV (White + Pink),,,,15-May,y,,,,,,,
956,SAAP (White + Green),,,,15-May,y,,,,,,,
957,CEOL (Orange),,,,15-May,np,gopher,,,,,,
958,ENCA (Pink),,,,,,,,,,,,
959,ENCA (Pink),,,,15-May,n,,,,,,,
960,ENCA (Pink),,,,15-May,y,,,,,,,
961,RHOV (White + Pink),,,,15-May,y,,,,,,,
962,HEWH (White),,,,15-May,y,,,,,,,
963,CEOL (Orange),,,,15-May,y,,,,,,,
964,MALA (White + Yellow),,,,15-May,n,,,,,,,
965,HEWH (White),,,,15-May,y,,,,,,,
966,HEAR,,,,15-May,n,,,,,,,
967,ADFA (Orange + Green),,,,15-May,n,gopher activity,,,,,,
968,SAAP (White + Green),,,,15-May,y,,,,,,,
969,HEWH (White),,,,15-May,y,,,,,,,
970,ENCA (Pink),,,,15-May,n,,,,,,,
971,CEOL (Orange),,,,15-May,y,,,,,,,
972,ADFA (Orange + Green),,,,15-May,y,,,,,,,
973,MALA (White + Yellow),,,,15-May,y,,,,,,,
974,SANI (Orange + Yellow),,,,15-May,y,,,,,,,
975,CEOL (Orange),,,,,,,,,,,,
976,RHOV (White + Pink),,,,15-May,n,,,,,,,
977,SAAP (White + Green),,,,15-May,y,,,,,,,
978,RHOV (White + Pink),,,,15-May,y,,,,,,,
979,ENCA (Pink),,,,8-May,y,,,,,,,
980,ENCA (Pink),,,,8-May,y,,,,,,,
981,HEWH (White),,,,15-May,y,,,,,,,
982,ADFA (Orange + Green),,,,15-May,n,,,,,,,
983,HEWH (White),,,,15-May,np,,,,,,,
984,HEWH (White),,,,15-May,y,,,,,,,
985,MALA (White + Yellow),,,,8-May,y,,,,,,,
986,SANI (Orange + Yellow),,,,15-May,np,,,,,,,
987,CEOL (Orange),,,,15-May,y,,,,,,,
988,MALA (White + Yellow),,,,8-May,y,,,,,,,
989,SANI (Orange + Yellow),,,,8-May,y,,,,,,,
990,CEOL (Orange),,,,8-May,y,,,,,,,
991,CEOL (Orange),,,,15-May,np,gopher,,,,,,
992,CEOL (Orange),,,,8-May,y,,,,,,,
993,ADFA (Orange + Green),,,,8-May,y,,,,,,,
994,ADFA (Orange + Green),,,,15-May,y,,,,,,,
995,HEWH (White),,,,8-May,np,,,,,,,
996,ENCA (Pink),,,,8-May,np,,,,,,,
997,ENCA (Pink),,,,8-May,y,,,,,,,
998,ADFA (Orange + Green),,,,8-May,y,,,,,,,
999,ENCA (Pink),,,,8-May,np,,,,,,,
1000,RHOV (White + Pink),,,,8-May,y,,,,,,,
1001,CEOL (Orange),,,,7-May,y,,,,,,,
1002,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1003,MALA (White + Yellow),,,,14-May,y,,,,,,,
1004,HEWH (White),,,,13-May,y,,,,,,,
1005,CEOL (Orange),,,,14-May,y,,,,,,,
1006,HEWH (White),,,,14-May,y,,,,,,,
1007,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1008,RHOV (White + Pink),,,,13-May,y,,,,,,,
1009,HEWH (White),,,,13-May,y,,,,,,,
1010,ADFA (Orange + Green),,,,13-May,n,,,,,,,
1011,RHOV (White + Pink),,,,13-May,y,,,,,,,
1012,MALA (White + Yellow),,,,8-May,y,,,,,,,
1013,SANI (Orange + Yellow),,,,8-May,np,gopher,,,,,,
1014,ENCA (Pink),,,,8-May,y,,,,,,,
1015,ENCA (Pink),,,,13-May,y,,,,,,,
1016,MALA (White + Yellow),,,,14-May,n,,,,,,,
1017,HEWH (White),,,,14-May,y,,,,,,,
1018,HEWH (White),,,,14-May,y,,,,,,,
1019,CEOL (Orange),,,,13-May,y,,,,,,,
1020,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1021,RHOV (White + Pink),,,,13-May,y,,,,,,,
1022,CEOL (Orange),,,,13-May,y,,,,,,,
1023,CEOL (Orange),,,,13-May,y,,,,,,,
1024,CEOL (Orange),,,,14-May,y,,,,,,,
1025,HEWH (White),,,,14-May,y,,,,,,,
1026,HEWH (White),,,,13-May,y,,,,,,,
1027,CEOL (Orange),,,,13-May,y,,,,,,,
1028,HEWH (White),,,,13-May,y,,,,,,,
1029,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1030,HEWH (White),,,,13-May,y,,,,,,,
1031,RHOV (White + Pink),,,,13-May,y,,,,,,,
1032,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1033,CEOL (Orange),,,,13-May,y,,,,,,,
1034,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1035,CEOL (Orange),,,,14-May,y,,,,,,,
1036,RHOV (White + Pink),,,,13-May,y,,,,,,,
1037,HEWH (White),,,,13-May,y,,,,,,,
1038,CEOL (Orange),,,,13-May,y,,,,,,,
1039,SAAP (White + Green),,,,13-May,np,,,,,,,
1040,HEWH (White),,,,13-May,y,,,,,,,
1041,HEWH (White),,,,13-May,y,,,,,,,
1042,CEOL (Orange),,,,13-May,y,,,,,,,
1043,RHOV (White + Pink),,,,13-May,y,,,,,,,
1044,MALA (White + Yellow),,,,13-May,y,,,,,,,
1045,ENCA (Pink),,,,13-May,y,,,,,,,
1046,ENCA (Pink),,,,13-May,y,,,,,,,
1047,HEWH (White),,,,13-May,y,,,,,,,
1048,ADFA (Orange + Green),,,,13-May,n,,,,,,,
1049,CEOL (Orange),,,,14-May,y,,,,,,,
1050,SAAP (White + Green),,,,13-May,y,,,,,,,
1051,HEWH (White),,,,14-May,y,,,,,,,
1052,RHOV (White + Pink),,,,13-May,y,,,,,,,
1053,MALA (White + Yellow),,,,13-May,y,,,,,,,
1054,HEWH (White),,,,13-May,y,,,,,,,
1055,ENCA (Pink),,,,13-May,y,,,,,,,
1056,HEWH (White),,,,13-May,y,,,,,,,
1057,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1058,ENCA (Pink),,,,14-May,y,,,,,,,
1059,MALA (White + Yellow),,,,13-May,y,,,,,,,
1060,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1061,CEOL (Orange),,,,14-May,y,,,,,,,
1062,CEOL (Orange),,,,13-May,y,,,,,,,
1063,HEWH (White),,,,13-May,y,,,,,,,
1064,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1065,MALA (White + Yellow),,,,13-May,y,,,,,,,
1066,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1067,HEWH (White),,,,14-May,y,,,,,,,
1068,HEWH (White),,,,14-May,y,,,,,,,
1069,ENCA (Pink),,,,14-May,y,,,,,,,
1070,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1071,RHOV (White + Pink),,,,13-May,np,,,,,,,
1072,RHOV (White + Pink),,,,13-May,y,,,,,,,
1073,HEWH (White),,,,13-May,y,,,,,,,
1074,ENCA (Pink),,,,13-May,y,,,,,,,
1075,SAAP (White + Green),,,,13-May,np,,,,,,,
1076,MALA (White + Yellow),,,,13-May,y,,,,,,,
1077,RHOV (White + Pink),,,,13-May,y,,,,,,,
1078,HEWH (White),,,,14-May,y,,,,,,,
1079,SAAP (White + Green),,,,13-May,y,,,,,,,
1080,HEWH (White) ENCA,,,,14-May,y,,,,,,,
1081,CEOL (Orange),,,,14-May,y,,,,,,,
1082,ENCA (Pink),,,,14-May,y,,,,,,,
1083,HEWH (White),,,,14-May,y,,,,,,,
1084,ENCA (Pink),,,,14-May,y,,,,,,,
1085,RHOV (White + Pink),,,,14-May,y,,,,,,,
1086,RHOV (White + Pink),,,,13-May,y,,,,,,,
1087,MALA (White + Yellow),,,,13-May,y,,,,,,,
1088,RHOV (White + Pink),,,,13-May,y,,,,,,,
1089,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1090,HEWH (White),,,,13-May,y,,,,,,,
1091,HEWH (White),,,,13-May,y,,,,,,,
1092,CEOL (Orange),,,,13-May,y,,,,,,,
1093,ENCA (Pink),,,,13-May,y,,,,,,,
1094,CEOL (Orange),,,,13-May,y,,,,,,,
1095,ENCA (Pink),,,,13-May,y,,,,,,,
1096,HEWH (White),,,,13-May,y,,,,,,,
1097,CEOL (Orange),,,,13-May,y,,,,,,,
1098,HEWH (White),,,,14-May,y,,,,,,,
1099,CEOL (Orange),,,,13-May,y,,,,,,,
1100,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1101,RHOV (White + Pink),,,,7-May,y,,,,,,,
1102,RHOV (White + Pink),,,,7-May,y,,,,,,,
1103,SAAP (White + Green),,,,7-May,y,,,,,,,
1104,RHOV (White + Pink),,,,8-May,y,,,,,,,
1105,HEWH (White),,,,8-May,y,,,,,,,
1106,RHOV (White + Pink),,,,8-May,y,,,,,,,
1107,SANI (Orange + Yellow),,,,8-May,y,,,,,,,
1108,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1109,ADFA (Orange + Green),,,,8-May,n,,,,,,,
1110,HEWH (White),,,,8-May,y,,,,,,,
1111,CEOL (Orange),,,,8-May,y,,,,,,,
1112,CEOL (Orange),,,,8-May,y,,,,,,,
1113,SAME (Orange + Pink),,,,8-May,y,,,,,,,
1114,ENCA (Pink),,,,8-May,y,,,,,,,
1115,RHOV (White + Pink),,,,8-May,y,,,,,,,
1116,HEWH (White),,,,8-May,y,,,,,,,
1117,ENCA (Pink),,,,14-May,y,,,,,,,
1118,RHOV (White + Pink),,,,8-May,y,,,,,,,
1119,CEOL (Orange),,,,8-May,y,looks eaten,,,,,,
1120,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1121,CEOL (Orange),,,,8-May,y,,,,,,,
1122,ENCA (Pink),,,,8-May,y,,,,,,,
1123,HEWH (White),,,,8-May,y,,,,,,,
1124,RHOV (White + Pink),,,,8-May,y,,,,,,,
1125,SAAP (White + Green),,,,8-May,y,,,,,,,
1126,CEOL (Orange),,,,8-May,y,,,,,,,
1127,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1128,HEWH (White),,,,8-May,y,,,,,,,
1129,ENCA (Pink),,,,8-May,y,,,,,,,
1130,SAME (Orange + Pink),,,,8-May,y,,,,,,,
1131,CEOL (Orange),,,,8-May,y,,,,,,,
1132,CEOL (Orange),,,,8-May,y,,,,,,,
1133,ENCA (Pink),,,,8-May,y,,,,,,,
1134,SAME (Orange + Pink),,,,8-May,y,,,,,,,
1135,ENCA (Pink),,,,8-May,y,,,,,,,
1136,ENCA (Pink),,,,8-May,y,,,,,,,
1137,MALA (White + Yellow),,,,8-May,n,,,,,,,
1138,RHOV (White + Pink),,,,13-May,np,,,,,,,
1139,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1140,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1141,HEWH (White),,,,14-May,y,,,,,,,
1142,CEOL (Orange),,,,14-May,y,,,,,,,
1143,MALA (White + Yellow),,,,14-May,np,,,,,,,
1144,HEWH (White),,,,14-May,y,,,,,,,
1145,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1146,HEWH (White),,,,14-May,np,,,,,,,
1147,HEWH (White),,,,14-May,y,,,,,,,
1148,CEOL (Orange),,,,14-May,y,,,,,,,
1149,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1150,HEWH (White),,,,14-May,np,,,,,,,
1151,CEOL (Orange),,,,14-May,y,,,,,,,
1152,HEAR,,,,14-May,y,,,,,,,
1153,MALA (White + Yellow),,,,14-May,y,,,,,,,
1154,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1155,SAAP (White + Green),,,,14-May,y,,,,,,,
1156,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1157,HEWH (White),,,,14-May,np,,,,,,,
1158,SAAP (White + Green),,,,14-May,n,,,,,,,
1159,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1160,HEWH (White),,,,14-May,y,,,,,,,
1161,ENCA (Pink),,,,14-May,np,,,,,,,
1162,ENCA (Pink),,,,14-May,np,,,,,,,
1163,SANI (Orange + Yellow),,,,14-May,np,,,,,,,
1164,SAME (Orange + Pink),,,,14-May,np,,,,,,,
1165,SAME (Orange + Pink),,,,14-May,np,,,,,,,
1166,RHOV (White + Pink),,,,14-May,np,,,,,,,
1167,HEWH (White),,,,14-May,y,,,,,,,
1168,MALA (White + Yellow),,,,14-May,y,,,,,,,
1169,SAME (Orange + Pink),,,,14-May,n,,,,,,,
1170,CEOL (Orange),,,,14-May,y,,,,,,,
1171,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1172,CEOL (Orange),,,,14-May,y,,,,,,,
1173,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1174,ENCA (Pink),,,,14-May,y,,,,,,,
1175,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1176,ENCA (Pink),,,,14-May,y,,,,,,,
1177,RHOV (White + Pink),,,,14-May,y,,,,,,,
1178,RHOV (White + Pink),,,,14-May,np,,,,,,,
1179,ENCA (Pink),,,,14-May,y,,,,,,,
1180,MALA (White + Yellow),,,,14-May,y,,,,,,,
1181,CEOL (Orange),,,,14-May,y,,,,,,,
1182,HEWH (White),,,,14-May,y,,,,,,,
1183,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1184,CEOL (Orange),,,,14-May,y,,,,,,,
1185,CEOL (Orange),,,,14-May,y,,,,,,,
1186,MALA (White + Yellow),,,,14-May,np,gopher,,,,,,
1187,RHOV (White + Pink),,,,14-May,y,,,,,,,
1188,CEOL (Orange),,,,14-May,y,,,,,,,
1189,CEOL (Orange),,,,14-May,y,,,,,,,
1190,CEOL (Orange),,,,14-May,y,,,,,,,
1191,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1192,ENCA (Pink),,,,14-May,y,,,,,,,
1193,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1194,ADFA (Orange + Green),,,,,,,,,,,,
1195,MALA (White + Yellow),,,,14-May,y,,,,,,,
1196,MALA (White + Yellow),,,,14-May,y,,,,,,,
1197,SANI (Orange + Yellow),,,,,,,,,,,,
1198,RHOV (White + Pink),,,,14-May,y,,,,,,,
1199,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1200,ENCA (Pink),,,,14-May,y,,,,,,,
1201,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1202,SAAP (White + Green),,,,14-May,n,,,,,,,
1203,HEWH (White),,,,14-May,y,,,,,,,
1204,RHOV (White + Pink),,,,14-May,y,,,,,,,
1205,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1206,CEOL (Orange),,,,7-May,y,,,,,,,
1207,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1208,HEWH (White),,,,14-May,np,,,,,,,
1209,ADFA (Orange + Green),,,,22-May,y,,,,,,,
1210,SAAP (White + Green),,,,14-May,np,,,,,,,
1211,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
1212,CEOL (Orange),,,,7-May,y,,,,,,,
1213,ENCA (Pink),,,,14-May,y,,,,,,,
1214,SAAP (White + Green),,,,14-May,np,,,,,,,
1215,RHOV (White + Pink),,,,13-May,y,,,,,,,
1216,SAME (Orange + Pink),,,,13-May,np,,,,,,,
1217,RHOV (White + Pink),,,,14-May,np,,,,,,,
1218,MALA (White + Yellow),,,,13-May,y,,,,,,,
1219,CEOL (Orange),,,,14-May,y,,,,,,,
1220,SAAP (White + Green),,,,7-May,y,,,,,,,
1221,ENCA (Pink),,,,14-May,y,watered 2x,,,,,,
1222,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1223,HEWH (White),,,,14-May,y,,,,,,,
1224,ADFA (Orange + Green),,,,22-May,n,,,,,,,
1225,MALA (White + Yellow),,,,14-May,y,,,,,,,
1226,ENCA (Pink),,,,14-May,y,,,,,,,
1227,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1228,CEOL (Orange),,,,13-May,y,,,,,,,
1229,HEWH (White),,,,13-May,np,,,,,,,
1230,SAAP (White + Green),,,,14-May,n,,,,,,,
1231,HEAR,,,,14-May,y,,,,,,,
1232,HEWH (White),,,,14-May,y,,,,,,,
1233,SAME (Orange + Pink),,,,14-May,n,murdered by shane,,,,,,
1234,CEOL (Orange),,,,13-May,y,,,,,,,
1235,MALA (White + Yellow),,,,22-May,y,,,,,,,
1236,RHOV (White + Pink),,,,13-May,y,,,,,,,
1237,RHOV (White + Pink),,,,13-May,y,,,,,,,
1238,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1239,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1240,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1241,HEWH (White),,,,14-May,y,,,,,,,
1242,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1243,ADFA (Orange + Green),,,,14-May,n,,,,,,,
1244,RHOV (White + Pink),,,,22-May,y,,,,,,,
1245,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1246,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1247,ADFA (Orange + Green),,,,22-May,y,gopher activity,,,,,,
1248,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1249,ADFA (Orange + Green),,,,22-May,y,,,,,,,
1250,RHOV (White + Pink),,,,22-May,y,,,,,,,
1251,ENCA (Pink),,,,14-May,y,,,,,,,
1252,HEWH (White),,,,14-May,y,,,,,,,
1253,RHOV (White + Pink),,,,22-May,y,,,,,,,
1254,CEOL (Orange),,,,22-May,np,,,,,,,
1255,RHOV (White + Pink),,,,14-May,y,,,,,,,
1256,HEWH (White),,,,14-May,y,,,,,,,
1257,RHOV (White + Pink),,,,13-May,y,,,,,,,
1258,RHOV (White + Pink),,,,14-May,y,,,,,,,
1259,CEOL (Orange),,,,14-May,y,,,,,,,
1260,RHOV (White + Pink),,,,14-May,y,,,,,,,
1261,RHOV (White + Pink),,,,14-May,np,gopher,,,,,,
1262,MALA (White + Yellow),,,,14-May,y,,,,,,,
1263,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1264,RHOV (White + Pink),,,,14-May,y,,,,,,,
1265,HEWH (White),,,,7-May,y,,,,,,,
1266,RHOV (White + Pink),,,,7-May,y,,,,,,,
1267,CEOL (Orange),,,,7-May,y,,,,,,,
1268,HEWH (White),,,,8-May,y,,,,,,,
1269,MALA (White + Yellow),,,,7-May,n,,,,,,,
1270,ADFA (Orange + Green),,,,7-May,n,,,,,,,
1271,SAME (Orange + Pink),,,,,,,,,,,,
1272,ENCA (Pink),,,,,,,,,,,,
1273,ENCA (Pink),,,,,,,,,,,,
1274,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1275,ADFA (Orange + Green),,,,7-May,y,,,,,,,
1276,RHOV (White + Pink),,,,7-May,y,,,,,,,
1277,MALA (White + Yellow),,,,22-May,y,,,,,,,
1278,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1279,HEWH (White),,,,14-May,y,,,,,,,
1280,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1281,CEOL (Orange),,,,14-May,y,watered 2x,,,,,,
1282,CEOL (Orange),,,,,,,,,,,,
1283,ENCA (Pink),,,,,,not planted no cut,,,,,,
1284,HEWH (White),,,,22-May,y,,,,,,,
1285,CEOL (Orange),,,,14-May,y,,,,,,,
1286,HEWH (White),,,,8-May,y,,,,,,,
1287,HEWH (White),,,,14-May,y,,,,,,,
1288,SAAP (White + Green),,,,8-May,y,,,,,,,
1289,ADFA (Orange + Green),,,,8-May,y,,,,,,,
1290,HEAR,,,,14-May,n,,,,,,,
1291,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1292,ENCA (Pink),,,,14-May,y,,,,,,,
1293,HEWH (White),,,,14-May,y,,,,,,,
1294,RHOV (White + Pink),,,,14-May,y,,,,,,,
1295,CEOL (Orange),,,,22-May,np,,,,,,,
1296,MALA (White + Yellow),,,,14-May,y,,,,,,,
1297,HEWH (White),,,,14-May,y,,,,,,,
1298,ADFA (Orange + Green),,,,22-May,y,,,,,,,
1299,CEOL (Orange),,,,22-May,y,,,,,,,
1300,ENCA (Pink),,,,6-May,np,,,,,,,
1301,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1302,HEWH (White),,,,13-May,y,,,,,,,
1303,ENCA (Pink),,,,13-May,y,,,,,,,
1304,ENCA (Pink),,,,13-May,y,,,,,,,
1305,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1306,MALA (White + Yellow),,,,13-May,y,,,,,,,
1307,SAAP (White + Green),,,,22-May,y,,,,,,,
1308,ENCA (Pink),,,,13-May,y,,,,,,,
1309,HEWH (White),,,,,,not planted no cut,,,,,,
1310,RHOV (White + Pink),,,,13-May,y,,,,,,,
1311,HEWH (White),,,,13-May,y,,,,,,,
1312,RHOV (White + Pink),,,,13-May,y,,,,,,,
1313,RHOV (White + Pink),,,,13-May,y,,,,,,,
1314,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1315,ENCA (Pink),,,,13-May,y,,,,,,,
1316,SAME (Orange + Pink),,,,8-May,y,,,,,,,
1317,HEWH (White),,,,8-May,y,,,,,,,
1318,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1319,SAAP (White + Green),,,,13-May,y,,,,,,,
1320,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1321,CEOL (Orange),,,,13-May,y,,,,,,,
1322,RHOV (White + Pink),,,,13-May,y,,,,,,,
1323,HEWH (White),,,,13-May,y,,,,,,,
1324,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1325,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1326,MALA (White + Yellow),,,,13-May,y,ARCA volunteer in plot,,,,,,
1327,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1328,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1329,HEWH (White),,,,13-May,y,,,,,,,
1330,ENCA (Pink),,,,13-May,y,,,,,,,
1331,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1332,ENCA (Pink),,,,13-May,y,,,,,,,
1333,HEWH (White),,,,13-May,y,,,,,,,
1334,HEWH (White),,,,13-May,y,,,,,,,
1335,ENCA (Pink),,,,13-May,y,,,,,,,
1336,RHOV (White + Pink),,,,13-May,y,,,,,,,
1337,MALA (White + Yellow),,,,13-May,y,,,,,,,
1338,CEOL (Orange),,,,13-May,y,,,,,,,
1339,HEWH (White),,,,13-May,y,,,,,,,
1340,CEOL (Orange),,,,13-May,y,,,,,,,
1341,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1342,ENCA (Pink),,,,13-May,y,,,,,,,
1343,SAAP (White + Green),,,,13-May,y,,,,,,,
1344,CEOL (Orange),,,,13-May,y,,,,,,,
1345,RHOV (White + Pink),,,,13-May,y,,,,,,,
1346,HEWH (White),,,,13-May,y,,,,,,,
1347,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1348,MALA (White + Yellow),,,,13-May,n,,,,,,,
1349,SAME (Orange + Pink),,,,13-May,y,,,,,,,
1350,RHOV (White + Pink),,,,13-May,y,,,,,,,
1351,ADFA (Orange + Green),,,,13-May,y,,,,,,,
1352,CEOL (Orange),,,,13-May,y,,,,,,,
1353,RHOV (White + Pink),,,,13-May,y,,,,,,,
1354,HEWH (White),,,,13-May,y,,,,,,,
1355,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1356,RHOV (White + Pink),,,,13-May,y,,,,,,,
1357,ENCA (Pink),,,,13-May,y,,,,,,,
1358,CEOL (Orange),,,,13-May,y,,,,,,,
1359,ADFA (Orange + Green),,,,13-May,n,,,,,,,
1360,CEOL (Orange),,,,14-May,y,,,,,,,
1361,ENCA (Pink),,,,14-May,y,,,,,,,
1362,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1363,SAME (Orange + Pink),,,,14-May,np,,,,,,,
1364,RHOV (White + Pink),,,,14-May,y,gopher,,,,,,
1365,ENCA (Pink),,,,14-May,y,,,,,,,
1366,SAAP (White + Green),,,,14-May,y,,,,,,,
1367,RHOV (White + Pink),,,,14-May,y,,,,,,,
1368,RHOV (White + Pink),,,,14-May,y,gopher,,,,,,
1369,ENCA (Pink),,,,14-May,y,,,,,,,
1370,HEWH (White),,,,14-May,y,,,,,,,
1371,CEOL (Orange),,,,14-May,y,,,,,,,
1372,HEWH (White),,,,14-May,y,,,,,,,
1373,MALA (White + Yellow),,,,14-May,y,,,,,,,
1374,SANI (Orange + Yellow),,,,14-May,np,gopher,,,,,,
1375,CEOL (Orange),,,,14-May,y,,,,,,,
1376,HEAR,,,,14-May,y,,,,,,,
1377,SANI (Orange + Yellow),,,,14-May,y,,,,,,,
1378,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1379,HEWH (White),,,,14-May,y,,,,,,,
1380,RHOV (White + Pink),,,,14-May,y,,,,,,,
1381,CEOL (Orange),,,,14-May,y,,,,,,,
1382,SAME (Orange + Pink),,,,14-May,y,,,,,,,
1383,RHOV (White + Pink),,,,22-May,y,,,,,,,
1384,CEOL (Orange),,,,22-May,y,,,,,,,
1385,SAAP (White + Green),,,,14-May,np,,,,,,,
1386,RHOV (White + Pink),,,,14-May,y,,,,,,,
1387,CEOL (Orange),,,,14-May,y,,,,,,,
1388,CEOL (Orange),,,,14-May,y,,,,,,,
1389,HEWH (White),,,,14-May,y,,,,,,,
1390,RHOV (White + Pink),,,,7-May,y,,,,,,,
1391,CEOL (Orange),,,,22-May,y,,,,,,,
1392,CEOL (Orange),,,,22-May,y,,,,,,,
1393,SANI (Orange + Yellow),,,,13-May,y,,,,,,,
1394,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1395,ADFA (Orange + Green),,,,14-May,y,,,,,,,
1396,HEWH (White),,,,14-May,y,,,,,,,
