ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes
281,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
282,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
283,SAAP (White + Green),,,,7-May,y,,,,,,,
284,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
285,ENCA (Pink),,,np,7-May,y,,,,,,,
286,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
287,MALA (White + Yellow),,,,7-May,y,,,,,,,
288,CEOL (Orange),,,np,7-May,y,,,,,,,
289,RHOV (White + Pink),11-Feb,Y,,8-May,y,,,,,,,
290,CEOL (Orange),,,np,7-May,y,,,,,,,
291,SAME (Orange + Pink),,,,8-May,y,,,,,,,
292,RHOV (White + Pink),,,np,7-May,y,,,,,,,
293,SAME (Orange + Pink),,,,7-May,y,,,,,,,
294,SAAP (White + Green),,,,7-May,np,,,,,,,
295,ENCA (Pink),,,np,7-May,y,,,,,,,
296,HEWH (White),11-Feb,Y,"buried partially, gopher activity",,,,,,,,,
297,MALA (White + Yellow),,,,8-May,y,,,,,,,
298,SAME (Orange + Pink),,,,8-May,y,,,,,,,
299,RHOV (White + Pink),,,,8-May,y,,,,,,,
300,SAAP (White + Green),,,,8-May,y,,,,,,,
301,HEWH (White),,,,7-May,y,,,,,,,
302,SANI (Orange + Yellow),,,,7-May,np,,,,,,,
303,ENCA (Pink),,,,8-May,y,,,,,,,
304,ENCA (Pink),,,,7-May,np,,,,,,,
305,SAAP (White + Green),,,,7-May,np,,,,,,,
306,HEWH (White),,,,8-May,np,,,,,,,
307,ENCA (Pink),,,,7-May,y,,,,,,,
308,SAAP (White + Green),,,,7-May,np,buried,,,,,,
309,CEOL (Orange),,,,7-May,y,,,,,,,
310,CEOL (Orange),,,,7-May,y,,,,,,,
311,ENCA (Pink),,,,7-May,np,gopher,,,,,,
312,CEOL (Orange),,,,7-May,np,,,,,,,
313,CEOL (Orange),,,,7-May,y,,,,,,,
314,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
315,RHOV (White + Pink),,,,7-May,y,,,,,,,
316,HEWH (White),,,,7-May,y,,,,,,,
317,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
318,SAME (Orange + Pink),,,,7-May,y,,,,,,,
319,ENCA (Pink),,,,7-May,y,,,,,,,
320,ADFA (Orange + Green),,,,7-May,y,,,,,,,
321,HEWH (White),,,,7-May,y,,,,,,,
322,ADFA (Orange + Green),,,,7-May,np,,,,,,,
323,HEWH (White),,,,7-May,y,,,,,,,
324,CEOL (Orange),,,,7-May,np,,,,,,,
325,HEWH (White),,,,7-May,n,watered 2x (1 says dead 1 says alive),,,,,,
326,ADFA (Orange + Green),,,,7-May,y,watered 2x,,,,,,
327,ENCA (Pink),,,,7-May,y,,,,,,,
328,RHOV (White + Pink),,,,7-May,y,,,,,,,
329,ENCA (Pink),,,,7-May,np,,,,,,,
330,ENCA (Pink),,,,7-May,y,,,,,,,
331,CEOL (Orange),,,np,7-May,np,gopher,,,,,,
332,RHOV (White + Pink),11-Feb,Y,,7-May,y,,,,,,,
333,CEOL (Orange),,,np,7-May,y,,,,,,,
334,CEOL (Orange),,,np,8-May,y,,,,,,,
335,SAAP (White + Green),,,,7-May,np,,,,,,,
336,ENCA (Pink),,,,7-May,y,,,,,,,
337,ENCA (Pink),,,np,7-May,y,,,,,,,
338,CEOL (Orange),,,np,7-May,y,,,,,,,
339,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
340,ADFA (Orange + Green),,,,7-May,np,,,,,,,
341,SAAP (White + Green),,,,7-May,y,,,,,,,
342,ENCA (Pink),11-Feb,Y,wilty,7-May,y,,,,,,,
343,SAAP (White + Green),,,,7-May,y,,,,,,,
344,CEOL (Orange),,,np,8-May,y,,,,,,,
345,ADFA (Orange + Green),11-Feb,Y,,8-May,y,,,,,,,
346,SAAP (White + Green),,,,8-May,np,,,,,,,
347,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
348,ADFA (Orange + Green),11-Feb,Y,,7-May,n,,,,,,,
349,SANI (Orange + Yellow),,,,7-May,np,,,,,,,
350,SAME (Orange + Pink),,,,7-May,y,,,,,,,
351,ADFA (Orange + Green),11-Feb,Y,,7-May,y,,,,,,,
352,ENCA (Pink),11-Feb,N,,7-May,np,,,,,,,
353,ENCA (Pink),11-Feb,Y,,7-May,y,,,,,,,
354,SAME (Orange + Pink),,,,7-May,y,,,,,,,
355,RHOV (White + Pink),,,,7-May,y,,,,,,,
356,CEOL (Orange),,,np,7-May,y,,,,,,,
357,SAAP (White + Green),,,,7-May,y,,,,,,,
358,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
359,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
360,RHOV (White + Pink),11-Feb,Y,,7-May,y,,,,,,,
361,CEOL (Orange),,,np,8-May,y,,,,,,,
362,MALA (White + Yellow),,,,7-May,y,,,,,,,
363,RHOV (White + Pink),11-Feb,Y,,7-May,y,,,,,,,
364,MALA (White + Yellow),,,,7-May,y,,,,,,,
365,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
366,CEOL (Orange),,,np,7-May,y,,,,,,,
367,RHOV (White + Pink),11-Feb,Y,,7-May,np,gopher,,,,,,
368,HEWH (White),11-Feb,Y,,8-May,y,,,,,,,
369,RHOV (White + Pink),,,,7-May,np,,,,,,,
370,CEOL (Orange),,,np,7-May,y,,,,,,,
371,SANI (Orange + Yellow),,,,7-May,y,,,,,,,
372,RHOV (White + Pink),11-Feb,Y,,7-May,np,gopher,,,,,,
373,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
374,HEWH (White),,,,7-May,y,,,,,,,
375,RHOV (White + Pink),11-Feb,Y,,7-May,y,,,,,,,
376,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
377,HEWH (White),11-Feb,Y,,7-May,y,,,,,,,
378,CEOL (Orange),,,np,7-May,y,,,,,,,
