"plot_number","Plant","july_height","date_measured","dead.x","date_measured_2","dead.y","fall_height"
398,"ENCA",13.3,2020-06-25,0,2020-10-27,0,10.4
399,"RHOV",29,2020-06-25,0,2020-10-27,1,37.2
400,"RHOV",18.1,2020-06-25,0,2020-10-27,0,56.2
401,"SANI",36.6,2020-06-24,0,2020-10-27,0,33
408,"HEWH",25.2,2020-06-25,0,2020-11-05,0,34.1
416,"MALA",31.2,2020-06-25,0,2020-11-05,1,34.2
417,"RHOV",17.7,2020-06-25,0,2020-11-05,0,54.7
418,"ADFA",45.8,2020-06-25,0,2020-11-05,1,32.1
419,"ENCA",72.2,2020-06-25,0,2020-11-05,0,71.4
420,"MALA",30.4,2020-06-25,0,2020-11-05,1,28.4
421,"CEOL",33.6,2020-06-25,0,2020-11-05,1,33.3
423,"SANI",27.9,2020-06-25,0,2020-11-05,0,30.1
425,"HEWH",19.8,2020-06-25,0,2020-11-05,0,22.3
429,"RHOV",25.1,2020-06-25,0,2020-11-05,1,26.3
439,"RHOV",27.7,2020-06-24,0,2020-11-05,1,26.2
441,"SAAP",21.5,2020-06-25,0,2020-11-05,1,15
442,"HEWH",26.8,2020-06-25,0,2020-11-05,0,6.6
447,"ADFA",61.8,2020-06-25,0,2020-11-05,1,59.6
464,"ENCA",53.6,2020-06-24,0,2020-11-05,0,52.8
481,"SANI",27.1,2020-06-24,0,2020-11-05,0,20.1
493,"ENCA",31.4,2020-06-24,0,2020-11-05,1,23.1
504,"SAME",12.1,2020-06-25,0,2020-11-05,0,12.2
505,"SAAP",22.7,2020-06-25,0,2020-11-05,1,21.6
517,"RHOV",30,2020-06-25,0,2020-11-05,1,35.9
522,"RHOV",26.6,2020-06-25,0,2020-11-05,1,28.1
532,"CEOL",43,2020-06-25,0,2020-11-05,1,43.9
534,"RHOV",22.6,2020-06-25,0,2020-11-05,1,23.3
544,"HEWH",28.1,2020-06-25,0,2020-11-05,0,32.3
548,"ADFA",43.9,2020-06-25,0,2020-11-05,1,44.4
551,"SANI",28,2020-06-25,0,2020-11-05,1,20.6
554,"HEWH",31.2,2020-06-25,0,2020-11-05,0,36.6
555,"ENCA",43.8,2020-06-25,0,2020-11-05,0,46.2
558,"ADFA",41.2,2020-06-25,0,2020-11-05,1,36.1
563,"HEWH",39.2,2020-06-25,0,2020-11-05,0,38.9
573,"ADFA",62.1,2020-06-24,0,2020-11-05,0,64.5
574,"SAAP",37.5,2020-06-24,0,2020-11-05,1,40.5
584,"SANI",28.8,2020-06-24,0,2020-11-05,0,17.6
587,"CEOL",29.4,2020-06-24,0,2020-11-05,0,39.2
590,"ENCA",60.3,2020-06-24,0,2020-11-05,1,60.1
592,"ADFA",52.1,2020-06-24,0,2020-11-05,1,45.4
606,"SAAP",35.8,2020-06-24,0,2020-11-05,1,32.3
608,"ADFA",45.2,2020-06-24,0,2020-11-17,1,12.9
