"plot_number","Plant","start_date","start_time","end_date","end_time","dead","height","gopher"
201,"SAAP",2020-02-14,0,2020-06-24,131,0,23,1
202,"ENCA",2020-01-21,0,2020-06-24,155,1,17.5,0
203,"ADFA",2020-01-21,0,2020-06-24,155,1,51.5,0
204,"HEWH",2020-01-21,0,2020-06-24,155,1,20.4,0
205,"CEOL",2020-01-25,0,2020-06-24,151,0,32.7,0
206,"SAAP",2020-02-20,0,2020-06-24,125,0,11.9,0
207,"ENCA",2020-01-21,0,2020-06-24,155,1,33.8,0
208,"SAAP",2020-02-14,0,2020-06-24,131,0,18.5,1
209,"HEWH",2020-01-21,0,2020-06-24,155,0,20.3,0
210,"ADFA",2020-01-21,0,2020-06-24,155,0,48.2,0
211,"HEWH",2020-01-21,0,2020-06-24,155,0,9.5,0
212,"CEOL",2020-01-25,0,2020-06-24,151,1,33.7,0
213,"SANI",2020-02-14,0,2020-06-24,131,1,10.25,0
214,"RHOV",2020-01-21,0,2020-06-24,155,1,8.5,0
215,"CEOL",2020-01-25,0,2020-06-24,151,0,21.5,0
216,"RHOV",2020-01-21,0,2020-06-24,155,1,11.8,0
217,"CEOL",2020-01-25,0,2020-06-24,151,1,32.2,0
218,"HEWH",2020-01-21,0,2020-06-24,155,0,15.4,0
219,"RHOV",2020-03-27,0,2020-06-24,89,0,13.1,0
220,"ENCA",2020-01-25,0,2020-06-24,151,0,12.9,0
221,"RHOV",2020-01-21,0,2020-06-24,155,0,11.1,1
222,"SAAP",2020-02-20,0,2020-06-24,125,1,14,0
223,"SAME",2020-02-20,0,2020-06-24,125,1,12,0
224,"CEOL",2020-01-25,0,2020-06-24,151,1,28.7,0
225,"HEWH",2020-01-21,0,2020-06-24,155,1,18,0
226,"ENCA",2020-02-20,0,2020-06-24,125,1,6.25,0
227,"SAAP",2020-02-20,0,2020-06-24,125,0,15,1
228,"CEOL",2020-01-25,0,2020-06-24,151,0,18.4,0
229,"SAME",2020-02-20,0,2020-06-24,125,0,7.5,1
230,"ADFA",2020-02-03,0,2020-06-24,142,1,28.6,0
231,"SAME",2020-02-25,0,2020-06-24,120,1,16.25,0
232,"RHOV",2020-03-27,0,2020-06-24,89,1,15.5,0
233,"HEAR",2020-02-27,0,2020-06-24,118,0,21.7,1
234,"MALA",2020-02-03,0,2020-06-24,142,1,43.2,0
235,"SAME",2020-02-20,0,2020-06-24,125,0,7,1
236,"HEWH",2020-01-21,0,2020-06-24,155,1,13.6,0
237,"CEOL",2020-01-25,0,2020-06-24,151,0,30.6,1
238,"MALA",2020-02-03,0,2020-06-24,142,1,34.2,0
239,"HEWH",2020-01-21,0,2020-06-24,155,1,8,0
240,"ENCA",2020-01-21,0,2020-06-24,155,1,29,0
241,"RHOV",2020-01-21,0,2020-06-24,155,0,14,0
242,"RHOV",2020-01-25,0,2020-06-24,151,0,11.07,0
243,"RHOV",2020-01-25,0,2020-06-24,151,0,9.9,1
244,"RHOV",2020-01-25,0,2020-06-24,151,0,12.8,0
245,"CEOL",2020-02-14,0,2020-06-24,131,1,26.25,0
246,"HEWH",2020-01-21,0,2020-06-24,155,0,19.6,0
247,"CEOL",2020-02-06,0,2020-06-24,139,1,17.1,0
248,"SAME",2020-02-20,0,2020-06-24,125,1,12.75,0
249,"MALA",2020-02-21,0,2020-06-24,124,1,37,0
250,"ENCA",2020-01-25,0,2020-06-24,151,0,27.2,0
251,"ENCA",2020-02-06,0,2020-06-24,139,0,27,0
252,"CEOL",2020-02-06,0,2020-06-24,139,0,26.5,0
253,"RHOV",2020-01-30,0,2020-06-24,146,1,8.012,0
254,"SAME",2020-02-20,0,2020-06-24,125,1,7,0
255,"HEWH",2020-02-20,0,2020-06-24,125,0,18,0
256,"SAME",2020-02-20,0,2020-06-24,125,0,11.25,0
257,"ADFA",2020-02-03,0,2020-06-24,142,0,47.8,0
258,"ENCA",2020-02-06,0,2020-06-24,139,1,43,0
259,"HEWH",2020-02-20,0,2020-06-24,125,0,17.25,0
260,"ADFA",2020-02-03,0,2020-06-24,142,1,55.6,0
261,"CEOL",2020-02-06,0,2020-06-24,139,1,15.4,0
262,"HEWH",2020-02-20,0,2020-06-24,125,1,22,0
263,"SAME",2020-02-20,0,2020-06-24,125,0,9.6,0
264,"CEOL",2020-02-06,0,2020-06-24,139,1,15.9,0
265,"ENCA",2020-01-25,0,2020-06-24,151,1,26.1,0
266,"HEWH",2020-01-30,0,2020-06-24,146,1,21.5,0
267,"SAAP",2020-02-20,0,2020-06-24,125,1,9,0
268,"CEOL",2020-02-14,0,2020-06-24,131,1,27,0
269,"HEWH",2020-02-20,0,2020-06-24,125,1,31.75,0
270,"HEWH",2020-02-20,0,2020-06-24,125,1,25,0
271,"CEOL",2020-02-14,0,2020-06-24,131,0,29.5,0
272,"RHOV",2020-01-30,0,2020-06-24,146,1,10.874,0
273,"SAAP",2020-02-13,0,2020-06-24,132,0,25.2,0
274,"SAAP",2020-02-13,0,2020-06-24,132,0,21.4,0
275,"ENCA",2020-01-30,0,2020-06-24,146,0,14,1
276,"CEOL",2020-02-14,0,2020-06-24,131,1,23.4,0
277,"ENCA",2020-01-30,0,2020-06-24,146,0,15.5,0
278,"ENCA",2020-01-30,0,2020-06-24,146,1,16.5,0
279,"SANI",2020-02-14,0,2020-06-24,131,0,13.1,0
280,"RHOV",2020-03-27,0,2020-06-24,89,0,11.9,0
281,"SANI",2020-02-14,0,2020-06-24,131,1,16.9,0
282,"HEWH",2020-01-30,0,2020-06-24,146,0,27,0
283,"SAAP",2020-02-13,0,2020-06-24,132,0,24.5,0
284,"SANI",2020-02-14,0,2020-06-24,131,0,17,0
285,"ENCA",2020-02-27,0,2020-06-24,118,0,49.5,0
286,"HEWH",2020-01-30,0,2020-06-24,146,0,16.5,0
287,"MALA",2020-02-14,0,2020-06-24,131,0,25.6,0
288,"CEOL",2020-02-14,0,2020-06-24,131,0,16,0
289,"RHOV",2020-02-06,0,2020-06-24,139,1,13,0
290,"CEOL",2020-02-14,0,2020-06-24,131,0,19.75,0
291,"SAME",2020-02-27,0,2020-06-24,118,0,16.8,0
292,"RHOV",2020-02-27,0,2020-06-24,118,0,17,0
293,"SAME",2020-02-27,0,2020-06-24,118,0,15.4,0
294,"SAAP",2020-02-13,0,2020-06-24,132,1,18.3,0
295,"ENCA",2020-02-27,0,2020-06-24,118,0,35.7,0
296,"HEWH",2020-01-30,0,2020-06-24,146,1,14.3,0
297,"MALA",2020-02-14,0,2020-06-24,131,0,45.9,0
298,"SAME",2020-02-27,0,2020-06-24,118,0,18.3,0
299,"RHOV",2020-02-14,0,2020-06-24,131,0,13.7,0
300,"SAAP",2020-02-14,0,2020-06-24,131,1,25.1,0
301,"HEWH",2020-01-30,0,2020-06-24,146,0,21.2,1
302,"SANI",2020-02-13,0,2020-06-24,132,1,11.6,0
303,"ENCA",2020-01-30,0,2020-06-24,146,0,33,0
304,"ENCA",2020-01-30,0,2020-06-24,146,1,28.2,0
305,"SAAP",2020-02-13,0,2020-06-24,132,1,25.5,0
306,"HEWH",2020-01-30,0,2020-06-24,146,1,36.8,0
307,"ENCA",2020-03-19,0,2020-06-24,97,0,45.6,0
308,"SAAP",2020-02-13,0,2020-06-24,132,0,23.6,1
309,"CEOL",2020-02-05,0,2020-06-24,140,0,21.4,0
310,"CEOL",2020-02-14,0,2020-06-24,131,0,32.8,1
311,"ENCA",2020-03-27,0,2020-06-24,89,0,19.2,1
312,"CEOL",2020-02-05,0,2020-06-24,140,1,28.4,0
313,"CEOL",2020-02-05,0,2020-06-24,140,0,20,0
314,"SANI",2020-02-13,0,2020-06-24,132,0,15.1,0
315,"RHOV",2020-01-30,0,2020-06-24,146,1,9.084,0
316,"HEWH",2020-01-30,0,2020-06-24,146,0,14.8,0
317,"SANI",2020-02-13,0,2020-06-24,132,0,13.1,1
318,"SAME",2020-02-20,0,2020-06-24,125,0,7.3,1
319,"ENCA",2020-01-25,0,2020-06-24,151,0,41.8,0
320,"ADFA",2020-02-04,0,2020-06-24,141,0,56.1,0
321,"HEWH",2020-01-30,0,2020-06-24,146,0,30.7,1
322,"ADFA",2020-01-30,0,2020-06-24,146,1,42.2,0
323,"HEWH",2020-01-30,0,2020-06-24,146,0,27.1,0
324,"CEOL",2020-02-14,0,2020-06-24,131,1,24.5,0
325,"HEWH",2020-01-25,0,2020-06-24,151,1,18.2,0
326,"ADFA",2020-02-20,0,2020-06-24,125,0,65,0
327,"ENCA",2020-01-30,0,2020-06-24,146,0,32.5,0
328,"RHOV",2020-03-27,0,2020-06-24,89,1,16.6,0
329,"ENCA",2020-01-30,0,2020-06-24,146,1,22.7,0
330,"ENCA",2020-01-30,0,2020-06-24,146,0,17.4,1
331,"CEOL",2020-02-14,0,2020-06-24,131,0,31.2,1
332,"RHOV",2020-01-30,0,2020-06-24,146,0,14.4,1
333,"CEOL",2020-02-13,0,2020-06-24,132,1,24.9,0
334,"CEOL",2020-02-14,0,2020-06-24,131,0,31.1,0
335,"SAAP",2020-02-13,0,2020-06-24,132,1,24.5,0
336,"ENCA",2020-02-27,0,2020-06-24,118,1,43.9,0
337,"ENCA",2020-02-27,0,2020-06-24,118,0,47.2,1
338,"CEOL",2020-02-13,0,2020-06-24,132,0,17.6,1
339,"ENCA",2020-02-01,0,2020-06-24,144,0,36.7,0
340,"ADFA",2020-01-30,0,2020-06-24,146,1,27.6,0
341,"SAAP",2020-02-13,0,2020-06-25,133,1,21.3,0
342,"ENCA",2020-01-30,0,2020-06-25,147,0,28.4,1
343,"SAAP",2020-02-13,0,2020-06-25,133,0,22.8,0
344,"CEOL",2020-02-13,0,2020-06-24,132,0,23.1,1
345,"ADFA",2020-02-01,0,2020-06-25,145,0,67,0
346,"SAAP",2020-02-13,0,2020-06-24,132,1,28.5,0
347,"SANI",2020-02-13,0,2020-06-24,132,0,10,1
348,"ADFA",2020-02-04,0,2020-06-25,142,1,63,0
349,"SANI",2020-02-13,0,2020-06-25,133,1,9.5,0
350,"SAME",2020-02-20,0,2020-06-25,126,0,6.1,1
351,"ADFA",2020-02-04,0,2020-06-25,142,0,60.5,0
352,"ENCA",2020-03-19,0,2020-06-25,98,1,39.25,0
353,"ENCA",2020-02-01,0,2020-06-25,145,0,18.6,0
354,"SAME",2020-02-20,0,2020-06-24,125,0,17.6,0
355,"RHOV",2020-01-30,0,2020-06-25,147,0,17.8,1
356,"CEOL",2020-02-14,0,2020-06-25,132,0,19.3,1
357,"SAAP",2020-02-13,0,2020-06-25,133,0,25.4,1
358,"HEWH",2020-01-30,0,2020-06-25,147,0,31.3,1
359,"HEWH",2020-01-30,0,2020-06-25,147,0,25.3,1
360,"RHOV",2020-01-30,0,2020-06-25,147,0,10.3,1
361,"CEOL",2020-02-14,0,2020-06-25,132,0,27.5,0
362,"MALA",2020-02-13,0,2020-06-24,132,0,29.3,0
363,"RHOV",2020-01-30,0,2020-06-25,147,0,15.4,0
364,"MALA",2020-02-13,0,2020-06-25,133,0,39.8,0
365,"HEWH",2020-01-30,0,2020-06-25,147,0,22.2,1
366,"CEOL",2020-03-27,0,2020-06-25,90,0,20.6,1
367,"RHOV",2020-01-30,0,2020-06-25,147,0,7.5,1
368,"HEWH",2020-01-30,0,2020-06-25,147,0,14,0
369,"RHOV",2020-01-30,0,2020-06-25,147,1,15.2,0
370,"CEOL",2020-02-14,0,2020-06-25,132,1,20.8,0
371,"SANI",2020-02-14,0,2020-06-25,132,0,10.5,1
