ID,Plant,Height,Width 1,Width 2,Stem Diameter,Date Measured,Notes
165,SANI (Orange + Yellow),,,,,5-Jun,np
166,SAME (Orange + Pink),35.6,18.3,13.8,1,24-Jun,
167,HEWH (White),27.7,20.4,13.9,,24-Jun,
168,RHOV (White + Pink),19.6,13.7,13.1,0.62,24-Jun,
169,HEWH (White),29.5,20.3,19.3,,24-Jun,
170,CEOL (Orange),15.4,7.2,3.9,0.2,24-Jun,
171,RHOV (White + Pink),18.2,9,8.1,0.35,24-Jun,
172,HEWH (White),,,,,24-Jun,np
173,SAME (Orange + Pink),,,,,24-Jun,np
174,ADFA (Orange + Green),53.6,41.2,32.3,1.2,24-Jun,
175,HEWH (White),,,,,24-Jun,dead
176,HEWH (White),5.8,8.9,2.9,,24-Jun,sad
177,HEWH (White),29.6,47.5,41.4,,24-Jun,
178,CEOL (Orange),,,,,24-Jun,"np, g"
179,SANI (Orange + Yellow),,,,,24-Jun,np
180,RHOV (White + Pink),,,,,24-Jun,"np, g"
181,HEWH (White),9.7,17.1,4.8,,24-Jun,sad
182,HEWH (White),30.3,36.2,29.6,,24-Jun,
183,ADFA (Orange + Green),,,,,24-Jun,dead
184,RHOV (White + Pink),,,,,24-Jun,"np, g"
185,ENCA (Pink),33.5,16.1,14.2,0.61,24-Jun,
186,HEWH (White),,,,,24-Jun,np
187,HEWH (White),21.1,26.2,20.6,,24-Jun,
188,HEWH (White),7.3,18.4,0.5,,24-Jun,sad
189,CEOL (Orange),,,,,24-Jun,np
190,CEOL (Orange),25.9,13.6,11.4,0.33,24-Jun,
191,ADFA (Orange + Green),,,,,24-Jun,`
192,SANI (Orange + Yellow),,,,,24-Jun,dead
193,ENCA (Pink),,,,,24-Jun,np
194,SANI (Orange + Yellow),18.2,17.6,13.2,0.8,24-Jun,
195,HEWH (White),,,,,24-Jun,np
196,HEWH (White),,,,,24-Jun,np
197,HEWH (White),,,,,24-Jun,"np, buried"
198,ENCA (Pink),,,,,24-Jun,np
199,HEWH (White),9.7,17.1,10.3,,24-Jun,
200,HEWH (White),9.9,9.6,3,,24-Jun,
201,SAAP (White + Green),,,,,24-Jun,"np, g"
202,ENCA (Pink),,,,,24-Jun,dead
203,ADFA (Orange + Green),,,,,24-Jun,dead
204,HEWH (White),,,,,24-Jun,np
205,CEOL (Orange),27.3,12.9,8.7,0.44,24-Jun,
206,SAAP (White + Green),14.3,6.6,4.5,0.22,24-Jun,
207,ENCA (Pink),,,,,24-Jun,np
208,SAAP (White + Green),11.3,10,7.6,0.55,24-Jun,g.a.
209,HEWH (White),20.4,32,12.5,,24-Jun,
210,ADFA (Orange + Green),41.4,51.2,30,0.61,24-Jun,
211,HEWH (White),14.4,20.9,13.2,,24-Jun,sad
212,CEOL (Orange),,,,,24-Jun,dead
213,SANI (Orange + Yellow),,,,,24-Jun,np
214,RHOV (White + Pink),,,,,24-Jun,np
215,CEOL (Orange),26,10.1,7.7,0.33,24-Jun,
216,RHOV (White + Pink),,,,,24-Jun,np
217,CEOL (Orange),,,,,24-Jun,np
