"","Plant","date","alive","elevation","aspect","slope","summer_solar_radiation","spring_solar_radiation","winter_solar_radiation","diurnal_heat","heat_load","sol_rad_aspect","terrain_ruggedness","terrain_texture","topographic_position","date_dead"
"1462","SAME",2020-05-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9957.9404296875,7851.72216796875,4131.72900390625,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1463","SAME",2020-07-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9957.9404296875,7851.72216796875,4131.72900390625,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1464","SAME",2020-11-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9957.9404296875,7851.72216796875,4131.72900390625,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1465","SAME",2021-12-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9957.9404296875,7851.72216796875,4131.72900390625,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1466","CEOL",2020-03-01,1,511.906372070312,0.43458365752458,25.515604019165,10487.1923828125,7082.77099609375,3069.83349609375,0.352442681789398,0.932291269302368,0.00113342341501266,194.628219604492,51.6071014404297,16.7242450714111,"july2020"
"1467","CEOL",2020-05-01,1,511.906372070312,0.43458365752458,25.515604019165,10487.1923828125,7082.77099609375,3069.83349609375,0.352442681789398,0.932291269302368,0.00113342341501266,194.628219604492,51.6071014404297,16.7242450714111,"july2020"
"1468","CEOL",2020-07-01,0,511.906372070312,0.43458365752458,25.515604019165,10487.1923828125,7082.77099609375,3069.83349609375,0.352442681789398,0.932291269302368,0.00113342341501266,194.628219604492,51.6071014404297,16.7242450714111,"july2020"
"1469","CEOL",2020-11-01,0,511.906372070312,0.43458365752458,25.515604019165,10487.1923828125,7082.77099609375,3069.83349609375,0.352442681789398,0.932291269302368,0.00113342341501266,194.628219604492,51.6071014404297,16.7242450714111,"july2020"
"1470","CEOL",2021-12-01,0,511.906372070312,0.43458365752458,25.515604019165,10487.1923828125,7082.77099609375,3069.83349609375,0.352442681789398,0.932291269302368,0.00113342341501266,194.628219604492,51.6071014404297,16.7242450714111,"july2020"
"1471","HEWH",2020-03-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9410.62109375,8000.32470703125,5084.7939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1472","HEWH",2020-05-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9410.62109375,8000.32470703125,5084.7939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1473","HEWH",2020-07-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9410.62109375,8000.32470703125,5084.7939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1474","HEWH",2020-11-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9410.62109375,8000.32470703125,5084.7939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1475","HEWH",2021-12-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9410.62109375,8000.32470703125,5084.7939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"alive"
"1476","ENCA",2020-03-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9168.546875,7960.90673828125,5054.37939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"november2020"
"1477","ENCA",2020-05-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9168.546875,7960.90673828125,5054.37939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"november2020"
"1478","ENCA",2020-07-01,1,505.421905517578,0.0893548879017732,23.7851505279541,9168.546875,7960.90673828125,5054.37939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"november2020"
"1479","ENCA",2020-11-01,0,505.421905517578,0.0893548879017732,23.7851505279541,9168.546875,7960.90673828125,5054.37939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"november2020"
"1480","ENCA",2021-12-01,0,505.421905517578,0.0893548879017732,23.7851505279541,9168.546875,7960.90673828125,5054.37939453125,0.239994123578072,0.825417101383209,0.00138853781390935,198.086502075195,50.481201171875,16.9078407287598,"november2020"
