ID,Plant,Watering 1 Date,Alive,Notes,Watering 2 Date,Alive,Notes,Watering 3 Date,Alive,Notes,Watering 4 Date,Alive,Notes,,
190,CEOL (Orange),2/13,Y,,5/7,y,,,,,,,,,
191,ADFA (Orange + Green),2/13,Y,,5/7,n,,,,,,,,,
192,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
193,ENCA (Pink),2/13,Y,,5/7,np,,,,,,,,,
194,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
195,HEWH (White),2/13,Y,,5/7,y,,,,,,,,,
196,HEWH (White),2/13,Y,,5/7,np,,,,,,,,,
197,HEWH (White),2/13,Y,,5/7,np,buried,,,,,,,,
198,ENCA (Pink),2/13,N,,5/7,np,,,,,,,,,
199,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
200,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
201,SAAP (White + Green),,,,5/7,y,,,,,,,,,
202,ENCA (Pink),2/11,Y,wilted,5/8,n,,,,,,,,,
203,ADFA (Orange + Green),2/11,Y,,5/8,y,,,,,,,,,
204,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
205,CEOL (Orange),2/11,Y,,5/7,y,,,,,,,,,
206,SAAP (White + Green),,,,5/7,y,,,,,,,,,
207,ENCA (Pink),2/11,Y,,5/7,np,,,,,,,,,
208,SAAP (White + Green),,,,5/7,y,,,,,,,,,
209,HEWH (White),2/13,Y,,5/8,y,,,,,,,,,
210,ADFA (Orange + Green),2/11,Y,,5/7,y,,,,,,,,,
211,HEWH (White),2/13,Y,,5/8,y,,,,,,,,,
212,CEOL (Orange),2/11,Y,,5/8,n,,,,,,,,,
213,SANI (Orange + Yellow),,,,5/8,np,,,,,,,,,
214,RHOV (White + Pink),2/11,Y,,5/8,np,,,,,,,,,
215,CEOL (Orange),2/11,Y,,5/8,y,,,,,,,,,
216,RHOV (White + Pink),2/11,Y,,5/8,y,,,,,,,,,
217,CEOL (Orange),2/11,Y,,5/7,np,,,,,,,,,
218,HEWH (White),2/11,Y,,5/7,y,,,,,,,,,
219,RHOV (White + Pink),2/11,N,"no plant, gopher",5/7,y,,,,,,,,,
220,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
221,RHOV (White + Pink),2/11,Y,,5/8,y,,,,,,,,,
222,SAAP (White + Green),,,,5/8,n,,,,,,,,,
223,SAME (Orange + Pink),,,,5/8,n,,,,,,,,,
224,CEOL (Orange),2/11,Y,,5/8,np,,,,,,,,,
225,HEWH (White),2/13,Y,,5/7,y,gopher,,,,,,,,
226,ENCA (Pink),2/11,N,no plant,5/8,np,,,,,,,,,
227,SAAP (White + Green),,,,5/7,y,,,,,,,,,
228,CEOL (Orange),2/11,Y,,5/7,y,,,,,,,,,
229,SAME (Orange + Pink),,,,5/8,y,,,,,,,,,
230,ADFA (Orange + Green),2/13,Y,,5/7,n,,,,,,,,,
231,SAME (Orange + Pink),,,,5/8,np,,,,,,,,,
232,RHOV (White + Pink),2/11,N,no plant,5/8,np,,,,,,,,,
233,HEAR,,,,5/8,y,,,,,,,,,
234,MALA (White + Yellow),,,,5/7,np,,,,,,,,,
235,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
236,HEWH (White),2/11,Y,wilted/strugglin,5/7,y,,,,,,,,,
237,CEOL (Orange),2/11,Y,,5/7,y,,,,,,,,,
238,MALA (White + Yellow),,Y,,5/7,np,,,,,,,,,
239,HEWH (White),2/13,Y,wilted/strugglin,5/7,np,,,,,,,,,
240,ENCA (Pink),2/11,N,no leaves,5/8,y,,,,,,,,,
241,RHOV (White + Pink),2/13,Y,,5/7,y,,,,,,,,,
242,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
243,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
244,RHOV (White + Pink),,,,5/7,y,,,,,,,,,
245,CEOL (Orange),,,,5/8,y,,,,,,,,,
246,HEWH (White),,,,5/8,y,,,,,,,,,
247,CEOL (Orange),,,,5/8,np,,,,,,,,,
248,SAME (Orange + Pink),,,,5/7,np,,,,,,,,,
249,MALA (White + Yellow),,,,5/7,y,,,,,,,,,
250,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
251,ENCA (Pink),2/11,Y,,5/7,y,,,,,,,,,
252,CEOL (Orange),2/11,Y,,5/7,y,,,,,,,,,
253,RHOV (White + Pink),,,,5/7,np,,,,,,,,,
254,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
255,HEWH (White),,,,5/8,y,,,,,,,,,
256,SANI (Orange + Yellow),,,,5/7,y,,,,,,,,,
257,ADFA (Orange + Green),,,,5/7,y,,,,,,,,,
258,ENCA (Pink),,,,5/7,y,,,,,,,,,
259,HEWH (White),,,,5/7,y,,,,,,,,,
260,ADFA (Orange + Green),,,,5/7,y,,,,,,,,,
261,CEOL (Orange),,,,5/7,y,,,,,,,,,
262,HEWH (White),,,,5/7,y,,,,,,,,,
263,SAME (Orange + Pink),,,,5/7,y,,,,,,,,,
