Plot_Number, Date, Time, Moisture %
1356,4/24/2020,11:33:46,26.2
1356,4/24/2020,11:34:44,25
1356,4/24/2020,11:35:13,22.2
1367,4/24/2020,13:27:51,23.6
1367,4/24/2020,13:28:44,17.9
1367,4/24/2020,13:29:06,26.9
1385,4/24/2020,10:48:36,14.3
1385,4/24/2020,10:49:09,24.1
1385,4/24/2020,10:49:38,20.1
1388,4/24/2020,10:52:03,39
1388,4/24/2020,10:53:04,35.4
1388,4/24/2020,10:53:04,31.4
1390,4/23/2020,14:37:19,21.4
1390,4/23/2020,14:37:56,21.6
1390,4/23/2020,14:38:28,22.8
1413,4/24/2020,13:31:03,22.5
1413,4/24/2020,13:31:25,21.8
1413,4/24/2020,13:31:53,25.6
1415,4/24/2020,13:53:45,22.7
1415,4/24/2020,13:56:43,14.9
1415,4/24/2020,13:57:04,19.2
1546,4/23/2020,12:31:19,26.6
1546,4/23/2020,12:31:51,25.3
1546,4/23/2020,12:32:16,20.6
1647,4/24/2020,12:00:16,33
1647,4/24/2020,12:00:41,32.9
1647,4/24/2020,12:01:17,38.3
