OID,Plot_Number, Date, Time, Moisture %
126,565,4/10/2020,13:57:11,7.1
127,565,4/10/2020,13:58:06,7.8
128,595,4/10/2020,14:00:09,7.8
129,595,4/10/2020,14:00:50,7.8
130,595,4/10/2020,14:01:21,13.2
131,614,4/10/2020,14:05:24,11.8
132,614,4/10/2020,14:06:10,9.2
133,614,4/10/2020,14:06:43,12.3
134,624,4/10/2020,14:11:51,9.6
135,624,4/10/2020,14:13:22,7.9
136,624,4/10/2020,14:13:54,8.5
137,633,4/10/2020,14:09:13,13.6
138,633,4/10/2020,14:09:56,10
139,633,4/10/2020,14:10:21,9.9
140,643,4/10/2020,14:16:03,9
141,643,4/10/2020,14:16:46,14
142,643,4/10/2020,14:17:14,8
143,672,4/10/2020,14:46:35,16
144,672,4/10/2020,14:47:31,13.6
145,672,4/10/2020,14:48:16,9.3
146,702,4/10/2020,14:02:28,9.1
147,702,4/10/2020,14:03:07,8.5
148,702,4/10/2020,14:03:44,7.7
149,726,4/10/2020,14:26:16,10
150,726,4/10/2020,14:26:48,11.1
151,726,4/10/2020,14:27:15,10.7
152,740,4/10/2020,14:29:28,9
153,740,4/10/2020,14:30:06,5.9
154,740,4/10/2020,14:30:49,12.9
155,740,4/10/2020,14:31:31,8
156,764,4/10/2020,14:32:50,9.3
157,764,4/10/2020,14:33:46,12.7
158,764,4/10/2020,14:34:27,5.8
159,783,4/10/2020,14:19:39,11.7
160,783,4/10/2020,14:20:13,7.7
161,783,4/10/2020,14:20:55,10.4
162,808,4/10/2020,14:37:00,11.2
163,808,4/10/2020,14:37:30,8.1
164,808,4/10/2020,14:38:13,13.1
165,820,4/10/2020,14:49:58,12.5
166,820,4/10/2020,14:50:29,6.6
167,820,4/10/2020,14:51:06,9.1
168,839,4/10/2020,14:57:17,6.3
169,839,4/10/2020,14:57:53,2.2
170,839,4/10/2020,14:58:27,7.5
171,845,4/10/2020,15:18:26,10.9
172,845,4/10/2020,15:19:01,8
173,845,4/10/2020,15:19:41,8.3
174,857,4/10/2020,15:01:42,9
175,857,4/10/2020,15:02:33,9.7
176,857,4/10/2020,15:03:09,6.3
177,860,4/10/2020,14:52:34,4.6
178,860,4/10/2020,14:53:25,8.1
179,860,4/10/2020,14:53:51,11.1
180,860,4/10/2020,14:55:06,4
181,870,4/10/2020,15:15:17,6.4
182,870,4/10/2020,15:15:55,13.4
183,870,4/10/2020,15:16:24,13.7
184,878,4/10/2020,15:26:57,11.6
185,878,4/10/2020,15:27:35,7.2
186,878,4/10/2020,15:28:07,12.5
187,883,4/10/2020,15:12:39,18.4
188,883,4/10/2020,15:13:25,13.5
189,883,4/10/2020,15:13:56,16.8
190,918,4/10/2020,15:23:31,12.8
191,918,4/10/2020,15:24:19,15.6
192,918,4/10/2020,15:25:18,16.9
193,954,4/10/2020,15:41:36,15.4
194,954,4/10/2020,15:42:23,15.9
195,954,4/10/2020,15:43:03,14.6
196,971,4/10/2020,15:38:04,9
197,971,4/10/2020,15:38:42,7.2
198,971,4/10/2020,15:39:12,8.5
199,979,4/10/2020,15:31:38,6.9
200,979,4/10/2020,15:32:08,5.4
201,979,4/10/2020,15:32:37,4.4
202,990,4/10/2020,15:34:27,5.4
203,990,4/10/2020,15:35:02,10.2
204,990,4/10/2020,15:35:46,6.7
205,1026,4/10/2020,16:17:19,20.7
206,1026,4/10/2020,16:18:15,22
207,1026,4/10/2020,16:19:03,20.6
208,1033,4/10/2020,16:12:41,16.5
209,1033,4/10/2020,16:13:24,13.2
210,1033,4/10/2020,16:13:58,16.4
211,1040,4/10/2020,16:22:29,12.8
212,1040,4/10/2020,16:22:59,17.7
213,1040,4/10/2020,16:23:32,12.9
214,1064,4/10/2020,16:25:35,7.1
215,1064,4/10/2020,16:26:03,15.6
216,1064,4/10/2020,16:26:34,11.9
217,1064,4/10/2020,16:27:17,11.1
218,1087,4/10/2020,16:33:09,8.3
219,1087,4/10/2020,16:33:47,10.3
220,1087,4/10/2020,16:34:30,15.9
221,1096,4/10/2020,16:28:37,21.2
222,1096,4/10/2020,16:29:08,18.1
223,1096,4/10/2020,16:29:49,8.3
224,1096,4/10/2020,16:30:22,15.6
225,1155,4/10/2020,17:05:10,12.1
226,1155,4/10/2020,17:05:38,10.8
227,1155,4/10/2020,17:06:17,11.6
228,1164,4/10/2020,17:02:52,13
229,1164,4/10/2020,17:03:21,14.3
230,1164,4/10/2020,17:03:54,10.9
231,1167,4/10/2020,17:07:55,10
232,1167,4/10/2020,17:08:39,11.1
233,1167,4/10/2020,17:09:19,13.5
234,1177,4/10/2020,17:11:23,3.9
235,1177,4/10/2020,17:11:56,8.1
236,1177,4/10/2020,17:12:30,7.4
237,1182,4/10/2020,16:41:59,15.9
238,1182,4/10/2020,16:42:58,19.7
239,1182,4/10/2020,16:43:33,12.1
240,1188,4/10/2020,16:59:28,14.5
241,1188,4/10/2020,17:00:11,13.8
242,1188,4/10/2020,17:00:38,19.9
243,1190,4/10/2020,16:57:12,17.3
244,1190,4/10/2020,16:57:44,11.8
245,1190,4/10/2020,16:58:29,15.3
246,1195,4/10/2020,16:54:00,10.8
247,1195,4/10/2020,16:54:30,9.8
248,1195,4/10/2020,16:55:00,13.1
249,1219,4/10/2020,16:04:05,7.8
250,1219,4/10/2020,16:04:38,2
251,1219,4/10/2020,16:05:11,12.4
252,1219,4/10/2020,16:05:45,7.8
253,1232,4/10/2020,16:48:23,10.1
