date,plot,m1,m2,m3,m4,average,alive (yes or no),notes
,740,19.7,19.2,7.9,10.2,14.25,y,
,764,13.2,18,14.2,,15.13333333,y,
,783,19.7,14.3,27.9,18.9,20.2,n,
,808,22.9,20.1,22.6,,21.86666667,n,
,820,23.3,22,19.4,,21.56666667,y,
,839,12.9,9.5,11.6,,11.33333333,y,
,845,20.3,23,24.5,,22.6,y,
,857,22.2,24.4,12.5,16.4,18.875,y,
,860,9.3,16.7,12.3,,12.76666667,y,
,870,15.7,24.1,30,20.2,22.5,y,
,875,15.4,8.8,23,18.3,16.375,y,
,878,25.6,24.9,17.3,,22.6,y,
,883,26.6,30.7,31.3,,29.53333333,y,
,905,10.1,15.9,16.5,,14.16666667,y,
,918,27.9,23.9,27,,26.26666667,y,
,954,24.2,19.7,25.8,,23.23333333,y,
,971,13.2,16.6,10,,13.26666667,y,
,979,11.5,13,5.9,,10.13333333,y,
,990,10.9,15.6,21.2,21.2,17.225,y,
,1015,32.3,34,21,30.8,29.525,y,
,1026,31.7,35.8,28.1,,31.86666667,y,
,1033,28.7,25.1,36.2,25,28.75,y,
,1040,29.8,35.4,30.8,,32,y,
,1064,23.4,32.7,23,29.6,27.175,y,
,1087,32.7,25.1,17.6,30.1,26.375,y,
,1096,29,27.4,23.4,,26.6,y,
,1110,29.9,29.1,28,,29,y,
,1113,34.7,28.5,26.5,,29.9,y,
,1124,25.5,34.2,29.1,,29.6,y,
,1130,36.3,35.1,25.1,31.5,32,y,
,1131,37.9,29.5,37.5,,34.96666667,y,
,1132,39.1,34.3,29.6,,34.33333333,y,
,1140,14.6,22.7,26.1,28.5,22.975,y,
,1155,19.4,22.3,22.9,,21.53333333,y,
,1161,19.1,27.2,24.3,,23.53333333,n,
,1164,24.7,24.6,27.5,,25.6,y,
,1167,26.4,17.7,17.4,,20.5,y,
,1177,20.8,14.7,16.4,22.1,18.5,y,
,1182,29.3,21.8,31.7,,27.6,y,
,1188,26.8,29.5,23.6,,26.63333333,y,
,1190,23.6,21.6,21.7,,22.3,y,
,1195,23.8,22.6,24.5,,23.63333333,y,
,1219,18,23.2,13.8,,18.33333333,y,
,1232,24.3,15.6,24.7,,21.53333333,y,
,1234,18,20.8,25.6,,21.46666667,y,
,1242,31.9,29.9,32.2,,31.33333333,y,
,1257,23.7,21.6,24.4,,23.23333333,y,
,1265,21.7,20.6,26,,22.76666667,y,
,1280,24.3,18.4,24.3,,22.33333333,y,
,1297,25.5,25.5,19.1,,23.36666667,y,
,1309,22.3,32.7,23.9,25.5,26.1,not planted (uncut plot),
,1313,31.7,23,30,,28.23333333,y,
,1327,27,33.6,34.7,,31.76666667,y,
,1346,34.2,28.7,32.8,,31.9,y,
,1349,29.3,24.8,20.5,,24.86666667,y,
,1353,16.1,29.7,22.7,21.5,22.5,y,
,1356,26.2,25,22.2,,24.46666667,y,
,1367,23.6,17.9,26.9,,22.8,y,
,1385,,24.1,20.1,,22.1,y,
,1388,39,35.4,31.4,,35.26666667,y,
,1390,21.4,21.6,22.8,,21.93333333,y,
,1413,22.5,21.8,25.6,,23.3,y,
,1415,22.7,14.9,19.2,,18.93333333,n,
,1546,26.6,25.3,20.6,,24.16666667,y,
,1598,16.4,13.6,19.7,,16.56666667,y,
,1647,33,32.9,38.3,,34.73333333,y,
